val_cross_entropy_step,step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
3.78216290473938,0,,,,,,
3.779165744781494,1,,,,,,
,9,3.7806644439697266,0.039794921875,0,,,
,9,,,0,3.850831985473633,,
3.5877251625061035,2,,,,,,
3.6563282012939453,3,,,,,,
,19,3.6220266819000244,0.0498046875,1,,,
,19,,,1,3.5947024822235107,,
3.4583113193511963,4,,,,,,
3.4569108486175537,5,,,,,,
,29,3.457611083984375,0.06591796875,2,,,
,29,,,2,3.4025120735168457,,
3.2570960521698,6,,,,,,
3.273364305496216,7,,,,,,
,39,3.265230178833008,0.099853515625,3,,,
,39,,,3,3.2373509407043457,,
,49,,,4,,3.041642189025879,0.154296875
3.1049387454986572,8,,,,,,
3.0382862091064453,9,,,,,,
,49,3.0716123580932617,0.1611328125,4,,,
,49,,,4,3.062838077545166,,
2.8346505165100098,10,,,,,,
2.8398170471191406,11,,,,,,
,59,2.837233781814575,0.23291015625,5,,,
,59,,,5,2.860097885131836,,
2.5423331260681152,12,,,,,,
2.509345769882202,13,,,,,,
,69,2.525839328765869,0.33349609375,6,,,
,69,,,6,2.5967161655426025,,
2.1514134407043457,14,,,,,,
2.1308233737945557,15,,,,,,
,79,2.1411185264587402,0.46142578125,7,,,
,79,,,7,2.2534072399139404,,
1.7521119117736816,16,,,,,,
1.7476495504379272,17,,,,,,
,89,1.7498807907104492,0.5751953125,8,,,
,89,,,8,1.8612644672393799,,
,99,,,9,,1.3159105777740479,0.69384765625
1.3431103229522705,18,,,,,,
1.3671857118606567,19,,,,,,
,99,1.3551480770111084,0.665771484375,9,,,
,99,,,9,1.4474635124206543,,
1.0270531177520752,20,,,,,,
1.077775239944458,21,,,,,,
,109,1.0524141788482666,0.740966796875,10,,,
,109,,,10,1.097499966621399,,
0.8467146158218384,22,,,,,,
0.8801332712173462,23,,,,,,
,119,0.8634239435195923,0.774169921875,11,,,
,119,,,11,0.8423119783401489,,
0.7756428122520447,24,,,,,,
0.729144811630249,25,,,,,,
,129,0.7523938417434692,0.7919921875,12,,,
,129,,,12,0.6642675995826721,,
0.657610297203064,26,,,,,,
0.6976097822189331,27,,,,,,
,139,0.6776100397109985,0.80908203125,13,,,
,139,,,13,0.5337975025177002,,
,149,,,14,,0.45956844091415405,0.87255859375
0.6146305799484253,28,,,,,,
0.6373084783554077,29,,,,,,
,149,0.6259695291519165,0.8203125,14,,,
,149,,,14,0.43813028931617737,,
0.6118865013122559,30,,,,,,
0.6158744096755981,31,,,,,,
,159,0.613880455493927,0.82421875,15,,,
,159,,,15,0.36550480127334595,,
0.5842232704162598,32,,,,,,
0.5691502690315247,33,,,,,,
,169,0.5766867399215698,0.8310546875,16,,,
,169,,,16,0.31246218085289,,
0.5757340788841248,34,,,,,,
0.5466528534889221,35,,,,,,
,179,0.5611934661865234,0.83642578125,17,,,
,179,,,17,0.27005723118782043,,
0.5588643550872803,36,,,,,,
0.5346242785453796,37,,,,,,
,189,0.5467443466186523,0.835693359375,18,,,
,189,,,18,0.23918811976909637,,
,199,,,19,,0.22015854716300964,0.94775390625
0.5595650672912598,38,,,,,,
0.5266755819320679,39,,,,,,
,199,0.5431203246116638,0.83935546875,19,,,
,199,,,19,0.21275344491004944,,
0.5647627711296082,40,,,,,,
0.5105718970298767,41,,,,,,
,209,0.5376673340797424,0.83935546875,20,,,
,209,,,20,0.1947900354862213,,
0.5232632160186768,42,,,,,,
0.514449954032898,43,,,,,,
,219,0.5188565850257874,0.8466796875,21,,,
,219,,,21,0.18244001269340515,,
0.49907997250556946,44,,,,,,
0.5186728835105896,45,,,,,,
,229,0.5088764429092407,0.846435546875,22,,,
