step,val_cross_entropy_step,epoch,val_acc,val_cross_entropy_epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0,3.4021668434143066,,,,,,
1,3.4009878635406494,,,,,,
2,3.4012978076934814,,,,,,
3,3.401001453399658,,,,,,
4,3.401224374771118,,,,,,
5,3.399319887161255,,,,,,
6,3.4004123210906982,,,,,,
7,3.400148630142212,,,,,,
8,3.402373790740967,,,,,,
9,3.400902271270752,,,,,,
10,3.4032180309295654,,,,,,
40,,0,0.03302556648850441,3.401186466217041,,,
40,,0,,,3.4019131660461426,,
49,,1,,,,0.029296875,3.40203857421875
11,3.400857925415039,,,,,,
12,3.401444435119629,,,,,,
13,3.400959014892578,,,,,,
14,3.4036879539489746,,,,,,
15,3.4004409313201904,,,,,,
16,3.4030730724334717,,,,,,
17,3.402815818786621,,,,,,
18,3.4017508029937744,,,,,,
19,3.400252342224121,,,,,,
20,3.4006881713867188,,,,,,
21,3.4011521339416504,,,,,,
81,,1,0.033203125,3.4015564918518066,,,
81,,1,,,3.40222430229187,,
99,,2,,,,0.044921875,3.401139736175537
22,3.402543544769287,,,,,,
23,3.4009010791778564,,,,,,
24,3.400969982147217,,,,,,
25,3.399585247039795,,,,,,
26,3.401761054992676,,,,,,
27,3.4007813930511475,,,,,,
28,3.402742385864258,,,,,,
29,3.4004874229431152,,,,,,
30,3.4010512828826904,,,,,,
31,3.4020469188690186,,,,,,
32,3.4035677909851074,,,,,,
122,,2,0.03302556648850441,3.4014945030212402,,,
122,,2,,,3.4025607109069824,,
149,,3,,,,0.0390625,3.401540517807007
33,3.4011917114257812,,,,,,
34,3.4010958671569824,,,,,,
35,3.400477170944214,,,,,,
36,3.4016475677490234,,,,,,
37,3.4014554023742676,,,,,,
38,3.4027040004730225,,,,,,
39,3.4001805782318115,,,,,,
40,3.401226282119751,,,,,,
41,3.4029860496520996,,,,,,
42,3.401756525039673,,,,,,
43,3.40158748626709,,,,,,
163,,3,0.03302556648850441,3.401482582092285,,,
163,,3,,,3.4025063514709473,,
199,,4,,,,0.03125,3.4031825065612793
44,3.4008572101593018,,,,,,
45,3.403399705886841,,,,,,
46,3.4004571437835693,,,,,,
47,3.4012951850891113,,,,,,
48,3.4020016193389893,,,,,,
49,3.4020071029663086,,,,,,
50,3.4006989002227783,,,,,,
51,3.4028682708740234,,,,,,
52,3.401371955871582,,,,,,
53,3.4006552696228027,,,,,,
54,3.4022319316864014,,,,,,
204,,4,0.03302556648850441,3.4016225337982178,,,
204,,4,,,3.4026906490325928,,
55,3.4033968448638916,,,,,,
56,3.4015631675720215,,,,,,
57,3.401963233947754,,,,,,
58,3.4021880626678467,,,,,,
59,3.4025564193725586,,,,,,
60,3.4011106491088867,,,,,,
61,3.401456832885742,,,,,,
62,3.40006422996521,,,,,,
63,3.4013619422912598,,,,,,
64,3.3994522094726562,,,,,,
65,3.405066728591919,,,,,,
245,,5,0.034090910106897354,3.401834726333618,,,
245,,5,,,3.402994394302368,,
249,,6,,,,0.05859375,3.3988499641418457
66,3.4027185440063477,,,,,,
67,3.401621103286743,,,,,,
68,3.4037926197052,,,,,,
69,3.402073621749878,,,,,,
70,3.4027469158172607,,,,,,
71,3.4041059017181396,,,,,,
72,3.401198387145996,,,,,,
73,3.403810501098633,,,,,,
74,3.4002857208251953,,,,,,
75,3.40118408203125,,,,,,
76,3.3985118865966797,,,,,,
286,,6,0.033913351595401764,3.4020044803619385,,,
286,,6,,,3.402920722961426,,
299,,7,,,,0.04296875,3.4025988578796387
77,3.398866653442383,,,,,,
78,3.401043653488159,,,,,,
79,3.403259754180908,,,,,,
80,3.403085708618164,,,,,,
81,3.4009268283843994,,,,,,
82,3.402540445327759,,,,,,
83,3.40421724319458,,,,,,
84,3.4008967876434326,,,,,,
85,3.4050467014312744,,,,,,
86,3.4021825790405273,,,,,,
87,3.4038522243499756,,,,,,
327,,7,0.03373579680919647,3.402355909347534,,,
327,,7,,,3.4027915000915527,,
349,,8,,,,0.03515625,3.401060104370117
88,3.4045217037200928,,,,,,
89,3.4052443504333496,,,,,,
90,3.401034116744995,,,,,,
91,3.4052894115448,,,,,,
92,3.400813102722168,,,,,,
93,3.4045827388763428,,,,,,
94,3.398186683654785,,,,,,
95,3.4042091369628906,,,,,,
96,3.398595094680786,,,,,,
97,3.405139684677124,,,,,,
98,3.402329206466675,,,,,,
368,,8,0.03338068351149559,3.402722120285034,,,
368,,8,,,3.402822256088257,,
399,,9,,,,0.01953125,3.4013302326202393
99,3.402496576309204,,,,,,
100,3.400907039642334,,,,,,
101,3.402294397354126,,,,,,
102,3.4000067710876465,,,,,,
103,3.403411388397217,,,,,,
104,3.4023711681365967,,,,,,
105,3.399376630783081,,,,,,
106,3.402677059173584,,,,,,
107,3.4006810188293457,,,,,,
108,3.403186798095703,,,,,,
109,3.4051389694213867,,,,,,
409,,9,0.033203125,3.402050018310547,,,
409,,9,,,3.4035961627960205,,
449,,10,,,,0.01953125,3.4056100845336914
110,3.4036996364593506,,,,,,
111,3.3966715335845947,,,,,,
112,3.4052367210388184,,,,,,
113,3.4030280113220215,,,,,,
114,3.404644250869751,,,,,,
115,3.3988213539123535,,,,,,
116,3.4051342010498047,,,,,,
117,3.4033362865448,,,,,,
118,3.4005227088928223,,,,,,
119,3.400596857070923,,,,,,
120,3.401264190673828,,,,,,
450,,10,0.03355823829770088,3.4020867347717285,,,
450,,10,,,3.40351939201355,,
121,3.4057235717773438,,,,,,
122,3.4052515029907227,,,,,,
123,3.4015729427337646,,,,,,
124,3.4052977561950684,,,,,,
125,3.399807929992676,,,,,,
126,3.4026973247528076,,,,,,
127,3.400378704071045,,,,,,
128,3.404343605041504,,,,,,
129,3.4012763500213623,,,,,,
130,3.402212142944336,,,,,,
131,3.402519941329956,,,,,,
491,,11,0.03338068351149559,3.4028258323669434,,,
491,,11,,,3.403076648712158,,
499,,12,,,,0.0390625,3.4014251232147217
132,3.404179573059082,,,,,,
133,3.3991570472717285,,,,,,
134,3.397740364074707,,,,,,
135,3.401824474334717,,,,,,
136,3.404428720474243,,,,,,
