step,val_cross_entropy_step,epoch,val_acc,val_cross_entropy_epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0,3.4016520977020264,,,,,,
1,3.4012393951416016,,,,,,
2,3.4019718170166016,,,,,,
3,3.4012839794158936,,,,,,
4,3.4000933170318604,,,,,,
5,3.4010565280914307,,,,,,
6,3.4015896320343018,,,,,,
7,3.400895118713379,,,,,,
8,3.401775598526001,,,,,,
9,3.4007272720336914,,,,,,
10,3.402127504348755,,,,,,
40,,0,0.033913351595401764,3.4013099670410156,,,
40,,0,,,3.401854991912842,,
49,,1,,,,0.025390625,3.4021425247192383
11,3.400728464126587,,,,,,
12,3.4013476371765137,,,,,,
13,3.4008424282073975,,,,,,
14,3.401019334793091,,,,,,
15,3.4015376567840576,,,,,,
16,3.4016287326812744,,,,,,
17,3.4014909267425537,,,,,,
18,3.401232957839966,,,,,,
19,3.402095079421997,,,,,,
20,3.4009761810302734,,,,,,
21,3.4014856815338135,,,,,,
81,,1,0.03355823829770088,3.4013078212738037,,,
81,,1,,,3.4021692276000977,,
99,,2,,,,0.03125,3.4038028717041016
22,3.400693655014038,,,,,,
23,3.401522159576416,,,,,,
24,3.401806116104126,,,,,,
25,3.401931047439575,,,,,,
26,3.401498794555664,,,,,,
27,3.4016222953796387,,,,,,
28,3.401916742324829,,,,,,
29,3.4007821083068848,,,,,,
30,3.40093731880188,,,,,,
31,3.401535987854004,,,,,,
32,3.4022574424743652,,,,,,
122,,2,0.03302556648850441,3.4014999866485596,,,
122,,2,,,3.4023561477661133,,
149,,3,,,,0.037109375,3.400256633758545
33,3.403822898864746,,,,,,
34,3.400378704071045,,,,,,
35,3.399974822998047,,,,,,
36,3.400587558746338,,,,,,
37,3.402730703353882,,,,,,
38,3.402820587158203,,,,,,
39,3.4021799564361572,,,,,,
40,3.4028618335723877,,,,,,
41,3.4016010761260986,,,,,,
42,3.3994333744049072,,,,,,
43,3.402735948562622,,,,,,
163,,3,0.034090910106897354,3.4017388820648193,,,
163,,3,,,3.402613639831543,,
199,,4,,,,0.033203125,3.4022128582000732
44,3.4011940956115723,,,,,,
45,3.4011549949645996,,,,,,
46,3.402193069458008,,,,,,
47,3.4026033878326416,,,,,,
48,3.4015517234802246,,,,,,
49,3.4019932746887207,,,,,,
50,3.402484178543091,,,,,,
51,3.4007601737976074,,,,,,
52,3.4009077548980713,,,,,,
53,3.4021801948547363,,,,,,
54,3.400869131088257,,,,,,
204,,4,0.03355823829770088,3.4016265869140625,,,
204,,4,,,3.402770519256592,,
55,3.400242805480957,,,,,,
56,3.4004733562469482,,,,,,
57,3.4018216133117676,,,,,,
58,3.401761531829834,,,,,,
59,3.4031853675842285,,,,,,
60,3.4020614624023438,,,,,,
61,3.4045634269714355,,,,,,
62,3.4012320041656494,,,,,,
63,3.4041175842285156,,,,,,
64,3.4017271995544434,,,,,,
65,3.4020845890045166,,,,,,
245,,5,0.03284801170229912,3.4021155834198,,,
245,,5,,,3.4028778076171875,,
249,,6,,,,0.03125,3.4075205326080322
66,3.4031789302825928,,,,,,
67,3.4010508060455322,,,,,,
68,3.399885416030884,,,,,,
69,3.4008517265319824,,,,,,
70,3.4050185680389404,,,,,,
71,3.4024839401245117,,,,,,
72,3.4036829471588135,,,,,,
73,3.403151512145996,,,,,,
74,3.401909589767456,,,,,,
75,3.399982452392578,,,,,,
76,3.4020071029663086,,,,,,
286,,6,0.033203125,3.402109384536743,,,
286,,6,,,3.4031565189361572,,
299,,7,,,,0.029296875,3.4036660194396973
77,3.402567148208618,,,,,,
78,3.3996570110321045,,,,,,
79,3.403502941131592,,,,,,
80,3.4025542736053467,,,,,,
81,3.4032044410705566,,,,,,
82,3.4037694931030273,,,,,,
83,3.399899959564209,,,,,,
84,3.4026248455047607,,,,,,
85,3.400987148284912,,,,,,
86,3.403900623321533,,,,,,
87,3.4010603427886963,,,,,,
327,,7,0.03302556648850441,3.4021575450897217,,,
327,,7,,,3.4031412601470947,,
349,,8,,,,0.033203125,3.402217149734497
88,3.4010143280029297,,,,,,
89,3.4024484157562256,,,,,,
90,3.398254871368408,,,,,,
91,3.402850866317749,,,,,,
92,3.4054501056671143,,,,,,
93,3.3997271060943604,,,,,,
94,3.4040889739990234,,,,,,
95,3.4029290676116943,,,,,,
96,3.404492139816284,,,,,,
97,3.402709722518921,,,,,,
98,3.4008235931396484,,,,,,
368,,8,0.034268464893102646,3.4022536277770996,,,
368,,8,,,3.4036054611206055,,
399,,9,,,,0.021484375,3.4039649963378906
99,3.3991940021514893,,,,,,
100,3.4083073139190674,,,,,,
101,3.4004786014556885,,,,,,
102,3.399895668029785,,,,,,
103,3.4013216495513916,,,,,,
104,3.405709981918335,,,,,,
105,3.399233102798462,,,,,,
106,3.4067089557647705,,,,,,
107,3.4022104740142822,,,,,,
108,3.4049062728881836,,,,,,
109,3.40354061126709,,,,,,
409,,9,0.03373579680919647,3.4028642177581787,,,
