step,val_cross_entropy_step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
0,3.0588841438293457,,,,,,
1,3.048297166824341,,,,,,
9,,3.053590774536133,0.614501953125,0,,,
9,,,,0,3.2571475505828857,,
2,2.365476131439209,,,,,,
3,2.358288526535034,,,,,,
19,,2.361882209777832,0.745849609375,1,,,
19,,,,1,2.792362689971924,,
4,1.4085025787353516,,,,,,
5,1.4055747985839844,,,,,,
29,,1.407038688659668,0.835693359375,2,,,
29,,,,2,1.978999137878418,,
6,0.6904447078704834,,,,,,
7,0.7328336834907532,,,,,,
39,,0.7116391658782959,0.880859375,3,,,
39,,,,3,1.1298555135726929,,
49,,,,4,,0.5031227469444275,0.87353515625
8,0.42446309328079224,,,,,,
9,0.4247743785381317,,,,,,
49,,0.4246187210083008,0.89599609375,4,,,
49,,,,4,0.6266912817955017,,
10,0.32401537895202637,,,,,,
11,0.34859830141067505,,,,,,
59,,0.3363068401813507,0.905517578125,5,,,
59,,,,5,0.403452068567276,,
12,0.30538126826286316,,,,,,
13,0.28360238671302795,,,,,,
69,,0.29449182748794556,0.91162109375,6,,,
69,,,,6,0.2925547957420349,,
14,0.2820523679256439,,,,,,
15,0.28096574544906616,,,,,,
79,,0.28150904178619385,0.910400390625,7,,,
79,,,,7,0.23133604228496552,,
16,0.2823370695114136,,,,,,
17,0.24127329885959625,,,,,,
89,,0.2618051767349243,0.909423828125,8,,,
89,,,,8,0.1911001205444336,,
99,,,,9,,0.17316222190856934,0.9404296875
18,0.25619199872016907,,,,,,
19,0.23816651105880737,,,,,,
99,,0.24717925488948822,0.919189453125,9,,,
99,,,,9,0.16653582453727722,,
20,0.24824215471744537,,,,,,
21,0.26150795817375183,,,,,,
109,,0.2548750638961792,0.917236328125,10,,,
109,,,,10,0.15208840370178223,,
22,0.26487043499946594,,,,,,
23,0.2582172155380249,,,,,,
119,,0.26154381036758423,0.918701171875,11,,,
119,,,,11,0.14141061902046204,,
24,0.25951507687568665,,,,,,
25,0.2683022916316986,,,,,,
129,,0.2639086842536926,0.91015625,12,,,
129,,,,12,0.1335369050502777,,
26,0.2427603006362915,,,,,,
27,0.25849857926368713,,,,,,
139,,0.2506294250488281,0.918212890625,13,,,
139,,,,13,0.13915453851222992,,
149,,,,14,,0.15782569348812103,0.9462890625
28,0.2924622893333435,,,,,,
29,0.26884615421295166,,,,,,
149,,0.2806542217731476,0.90625,14,,,
149,,,,14,0.14310917258262634,,
30,0.23260445892810822,,,,,,
31,0.2514346241950989,,,,,,
159,,0.24201953411102295,0.918212890625,15,,,
159,,,,15,0.14799046516418457,,
32,0.26904359459877014,,,,,,
33,0.25613853335380554,,,,,,
169,,0.26259106397628784,0.913330078125,16,,,
169,,,,16,0.1350547969341278,,
34,0.26660463213920593,,,,,,
35,0.24161122739315033,,,,,,
179,,0.25410792231559753,0.9189453125,17,,,
179,,,,17,0.12352783977985382,,
36,0.22985737025737762,,,,,,
37,0.22137445211410522,,,,,,
189,,0.22561591863632202,0.9228515625,18,,,
189,,,,18,0.1151169091463089,,
199,,,,19,,0.11313968151807785,0.95361328125
38,0.23289205133914948,,,,,,
39,0.24011509120464325,,,,,,
199,,0.23650357127189636,0.9208984375,19,,,
199,,,,19,0.10864825546741486,,
40,0.24309222400188446,,,,,,
41,0.2557579576969147,,,,,,
209,,0.24942508339881897,0.916015625,20,,,
209,,,,20,0.108059823513031,,
42,0.2525935471057892,,,,,,
43,0.2381003350019455,,,,,,
219,,0.24534693360328674,0.91796875,21,,,
219,,,,21,0.11232747882604599,,
44,0.24096262454986572,,,,,,
45,0.24084845185279846,,,,,,
229,,0.2409055382013321,0.91845703125,22,,,
229,,,,22,0.12465975433588028,,
46,0.27210676670074463,,,,,,
47,0.24225406348705292,,,,,,
239,,0.25718042254447937,0.91455078125,23,,,
239,,,,23,0.12674397230148315,,
249,,,,24,,0.13783597946166992,0.94580078125
48,0.25944584608078003,,,,,,
49,0.2556176483631134,,,,,,
249,,0.2575317621231079,0.914794921875,24,,,
249,,,,24,0.12614725530147552,,
50,0.260813444852829,,,,,,
51,0.25066131353378296,,,,,,
259,,0.2557373642921448,0.912841796875,25,,,
259,,,,25,0.12361238151788712,,
52,0.25980958342552185,,,,,,
53,0.24907487630844116,,,,,,
269,,0.2544422149658203,0.91943359375,26,,,
269,,,,26,0.12918329238891602,,
54,0.23585104942321777,,,,,,
55,0.2645479440689087,,,,,,
279,,0.25019949674606323,0.914306640625,27,,,
279,,,,27,0.11858700215816498,,
56,0.2570682466030121,,,,,,
57,0.2621345818042755,,,,,,
289,,0.2596014142036438,0.911376953125,28,,,
289,,,,28,0.1145525723695755,,
299,,,,29,,0.13788501918315887,0.94140625
58,0.26666638255119324,,,,,,
59,0.24874508380889893,,,,,,
299,,0.2577057480812073,0.913330078125,29,,,
299,,,,29,0.11677690595388412,,
60,0.2396915704011917,,,,,,
61,0.2577727437019348,,,,,,
309,,0.24873214960098267,0.91796875,30,,,
309,,,,30,0.10895951837301254,,
62,0.2791249454021454,,,,,,
63,0.27174416184425354,,,,,,
319,,0.27543455362319946,0.906005859375,31,,,
319,,,,31,0.10856416076421738,,
64,0.2604813873767853,,,,,,
65,0.27307379245758057,,,,,,
329,,0.26677757501602173,0.914794921875,32,,,
329,,,,32,0.10627840459346771,,
66,0.2669854760169983,,,,,,
67,0.2330094426870346,,,,,,
339,,0.24999746680259705,0.920654296875,33,,,
339,,,,33,0.12128522247076035,,
349,,,,34,,0.16310817003250122,0.94091796875
68,0.2564627528190613,,,,,,
69,0.2810549736022949,,,,,,
349,,0.2687588632106781,0.91748046875,34,,,
349,,,,34,0.14418065547943115,,
70,0.2510014474391937,,,,,,
71,0.2901383340358734,,,,,,
359,,0.27056989073753357,0.907470703125,35,,,
359,,,,35,0.14424338936805725,,
72,0.2552807927131653,,,,,,
73,0.2342597246170044,,,,,,
369,,0.24477025866508484,0.921142578125,36,,,
369,,,,36,0.13907316327095032,,
74,0.24059489369392395,,,,,,
75,0.2392982840538025,,,,,,
379,,0.23994658887386322,0.920166015625,37,,,
379,,,,37,0.1340639740228653,,
76,0.21805672347545624,,,,,,
77,0.24593663215637207,,,,,,
389,,0.23199668526649475,0.924072265625,38,,,
389,,,,38,0.11645013093948364,,
399,,,,39,,0.10532283037900925,0.95947265625
78,0.2690786123275757,,,,,,
79,0.26462528109550476,,,,,,
399,,0.2668519616127014,0.907958984375,39,,,
399,,,,39,0.10301605612039566,,
80,0.24212223291397095,,,,,,
81,0.2444782257080078,,,,,,
409,,0.24330022931098938,0.92431640625,40,,,
409,,,,40,0.11084035784006119,,
82,0.2675796449184418,,,,,,
83,0.22606071829795837,,,,,,
419,,0.24682018160820007,0.91943359375,41,,,
419,,,,41,0.10537543147802353,,
84,0.27988123893737793,,,,,,
85,0.2722839117050171,,,,,,
429,,0.2760825753211975,0.910888671875,42,,,
429,,,,42,0.11425182968378067,,
86,0.2811027765274048,,,,,,
87,0.28173601627349854,,,,,,
439,,0.28141939640045166,0.90869140625,43,,,
439,,,,43,0.12497957050800323,,
449,,,,44,,0.19186511635780334,0.93017578125
88,0.24467983841896057,,,,,,
89,0.2670051157474518,,,,,,
449,,0.2558424770832062,0.91552734375,44,,,
449,,,,44,0.1446840465068817,,
90,0.28744572401046753,,,,,,
91,0.2937292456626892,,,,,,
459,,0.29058748483657837,0.90625,45,,,
459,,,,45,0.1613389104604721,,
92,0.2663763463497162,,,,,,
93,0.253495991230011,,,,,,
469,,0.2599361538887024,0.916259765625,46,,,
469,,,,46,0.14472763240337372,,
94,0.273540198802948,,,,,,
95,0.29325568675994873,,,,,,
479,,0.28339794278144836,0.90625,47,,,
479,,,,47,0.1264926791191101,,
96,0.2657848596572876,,,,,,
97,0.27306419610977173,,,,,,
489,,0.26942452788352966,0.91552734375,48,,,
489,,,,48,0.1251409947872162,,
499,,,,49,,0.1188984140753746,0.95166015625
98,0.25896546244621277,,,,,,
99,0.2721637189388275,,,,,,
499,,0.26556459069252014,0.910888671875,49,,,
499,,,,49,0.10879254341125488,,
100,0.2292037308216095,,,,,,
101,0.2470667064189911,,,,,,
509,,0.2381352186203003,0.925048828125,50,,,
509,,,,50,0.11010831594467163,,
102,0.21827377378940582,,,,,,
103,0.25877442955970764,,,,,,
519,,0.23852410912513733,0.9228515625,51,,,
519,,,,51,0.10715848207473755,,
