step,val_cross_entropy_step,epoch,val_cross_entropy_epoch,val_acc,cross_entropy_epoch
0,2.261389330398603,,,,
1,2.1619168002212423,,,,
2,2.1861834912020277,,,,
3,2.220843759213239,,,,
4,2.2626804480382647,,,,
5,2.2336557990554655,,,,
6,2.169996511978206,,,,
7,2.1959719963586,,,,
8,2.229785807998797,,,,
9,2.260920858956747,,,,
10,2.2120930352968506,,,,
40,,0,2.217767076247095,0.5394176136363636,
40,,0,,,3.0636815612695267
