val_cross_entropy_step,step,val_acc,epoch,val_cross_entropy_epoch,cross_entropy_epoch,cross_entropy_step,train_acc
2.4288554191589355,0,,,,,,
2.4949166774749756,1,,,,,,
2.481435537338257,2,,,,,,
2.4420008659362793,3,,,,,,
2.5442726612091064,4,,,,,,
2.5148558616638184,5,,,,,,
2.4696524143218994,6,,,,,,
2.465862989425659,7,,,,,,
2.521878719329834,8,,,,,,
2.4661896228790283,9,,,,,,
2.476557731628418,10,,,,,,
,40,0.6086647510528564,0,2.4824068546295166,,,
,40,,0,,3.1008408069610596,,
,49,,1,,,2.476646661758423,0.529296875
1.6217741966247559,11,,,,,,
1.6818928718566895,12,,,,,,
1.614637851715088,13,,,,,,
1.711545467376709,14,,,,,,
1.5778608322143555,15,,,,,,
1.6890426874160767,16,,,,,,
1.6323236227035522,17,,,,,,
1.634232759475708,18,,,,,,
1.6628793478012085,19,,,,,,
1.7002555131912231,20,,,,,,
1.6764544248580933,21,,,,,,
,81,0.8087713122367859,1,1.6548091173171997,,,
,81,,1,,2.256747245788574,,
,99,,2,,,1.4859980344772339,0.76171875
0.9677820205688477,22,,,,,,
0.9638920426368713,23,,,,,,
0.9830185174942017,24,,,,,,
0.9635035395622253,25,,,,,,
0.9791580438613892,26,,,,,,
0.959912896156311,27,,,,,,
0.9308151602745056,28,,,,,,
0.9277549982070923,29,,,,,,
0.9274157881736755,30,,,,,,
0.9735932946205139,31,,,,,,
1.0056580305099487,32,,,,,,
,122,0.875,2,0.9620458483695984,,,
,122,,2,,1.4815983772277832,,
