step,val_cross_entropy_step,val_cross_entropy_epoch,epoch,val_acc,cross_entropy_epoch,cross_entropy_step,train_acc
0,3.351989269256592,,,,,,
1,3.3558595180511475,,,,,,
9,,3.35392427444458,0,0.129638671875,,,
9,,,0,,3.3893699645996094,,
2,3.2200539112091064,,,,,,
3,3.226694107055664,,,,,,
19,,3.2233738899230957,1,0.41552734375,,,
19,,,1,,3.3061225414276123,,
4,3.0133278369903564,,,,,,
5,3.009535551071167,,,,,,
29,,3.0114316940307617,2,0.595703125,,,
29,,,2,,3.1499478816986084,,
6,2.721544027328491,,,,,,
7,2.7265589237213135,,,,,,
39,,2.7240514755249023,3,0.689697265625,,,
39,,,3,,2.9067623615264893,,
49,,,4,,,2.4623968601226807,0.75439453125
8,2.389920234680176,,,,,,
9,2.378797769546509,,,,,,
49,,2.3843588829040527,4,0.773193359375,,,
49,,,4,,2.5979115962982178,,
