val_cross_entropy_step,step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,train_acc,cross_entropy_step
3.2386062145233154,0,,,,,,
3.230771541595459,1,,,,,,
,9,0.207275390625,3.2346887588500977,0,,,
,9,,,0,3.347970962524414,,
2.6175224781036377,2,,,,,,
2.6048247814178467,3,,,,,,
,19,0.46044921875,2.611173629760742,1,,,
,19,,,1,3.01973295211792,,
1.5306718349456787,4,,,,,,
1.5334585905075073,5,,,,,,
,29,0.669921875,1.5320651531219482,2,,,
,29,,,2,2.200662136077881,,
0.7615419626235962,6,,,,,,
0.7362092137336731,7,,,,,,
,39,0.81396484375,0.748875617980957,3,,,
,39,,,3,1.254525899887085,,
,49,,,4,,0.8046875,0.6841561794281006
0.466294527053833,8,,,,,,
0.4855327308177948,9,,,,,,
,49,0.8564453125,0.4759136438369751,4,,,
,49,,,4,0.7531779408454895,,
0.3726750612258911,10,,,,,,
0.35855624079704285,11,,,,,,
,59,0.8828125,0.3656156659126282,5,,,
,59,,,5,0.5622541308403015,,
0.3285617530345917,12,,,,,,
0.34483039379119873,13,,,,,,
,69,0.892333984375,0.3366960883140564,6,,,
,69,,,6,0.4752815365791321,,
0.2978796064853668,14,,,,,,
0.32695725560188293,15,,,,,,
,79,0.899169921875,0.3124184310436249,7,,,
,79,,,7,0.42254209518432617,,
0.2872885465621948,16,,,,,,
0.3004484474658966,17,,,,,,
,89,0.9033203125,0.2938684821128845,8,,,
,89,,,8,0.3889443278312683,,
,99,,,9,,0.892578125,0.368942528963089
0.28596729040145874,18,,,,,,
0.28500765562057495,19,,,,,,
,99,0.908203125,0.28548747301101685,9,,,
,99,,,9,0.3613382875919342,,
0.29409223794937134,20,,,,,,
0.28424912691116333,21,,,,,,
,109,0.904541015625,0.28917068243026733,10,,,
,109,,,10,0.34269994497299194,,
0.30388036370277405,22,,,,,,
0.28652453422546387,23,,,,,,
,119,0.901611328125,0.29520243406295776,11,,,
,119,,,11,0.3279796540737152,,
0.2774798274040222,24,,,,,,
0.2766912877559662,25,,,,,,
,129,0.908203125,0.277085542678833,12,,,
,129,,,12,0.3137655258178711,,
0.2791830599308014,26,,,,,,
0.274096816778183,27,,,,,,
,139,0.908203125,0.2766399383544922,13,,,
,139,,,13,0.3029528260231018,,
,149,,,14,,0.9111328125,0.29434800148010254
0.26672908663749695,28,,,,,,
0.26111719012260437,29,,,,,,
,149,0.91357421875,0.26392313838005066,14,,,
,149,,,14,0.2910047173500061,,
0.25696495175361633,30,,,,,,
0.2927134931087494,31,,,,,,
,159,0.90625,0.27483922243118286,15,,,
,159,,,15,0.28218746185302734,,
0.26053285598754883,32,,,,,,
0.264299601316452,33,,,,,,
,169,0.912353515625,0.2624162435531616,16,,,
,169,,,16,0.27622470259666443,,
0.2475401908159256,34,,,,,,
0.2594490349292755,35,,,,,,
,179,0.916259765625,0.25349462032318115,17,,,
,179,,,17,0.2683771252632141,,
0.2538013160228729,36,,,,,,
0.2773831784725189,37,,,,,,
,189,0.906982421875,0.2655922472476959,18,,,
,189,,,18,0.26378172636032104,,
,199,,,19,,0.90966796875,0.27283957600593567
0.25551459193229675,38,,,,,,
0.2761373519897461,39,,,,,,
,199,0.911376953125,0.2658259868621826,19,,,
,199,,,19,0.25791212916374207,,
0.2500888705253601,40,,,,,,
0.2422005981206894,41,,,,,,
,209,0.916259765625,0.24614474177360535,20,,,
,209,,,20,0.2539845108985901,,
0.24935385584831238,42,,,,,,
