model_name,n_units_l1,n_units_l2,trainable_params,time_to_train,val_loss
ChebyKAN,32,16,37856,44.22470021247864,tensor 0.265
ChebyKAN,32,24,40352,45.55207085609436,tensor 0.248
ChebyKAN,48,6,51648,45.59737968444824,tensor 0.425
ChebyKAN,48,10,53216,48.672775983810425,tensor 0.288
ChebyKAN,48,16,55568,45.20496892929077,tensor 0.365
ChebyKAN,48,24,58704,44.61068630218506,tensor 0.248
ChebyKAN,64,6,68560,44.86964130401611,tensor 0.392
ChebyKAN,64,10,70448,44.50801205635071,tensor 0.302
ChebyKAN,64,16,73280,45.321124792099,tensor 0.277
ChebyKAN,64,24,77056,45.11567282676697,tensor 0.346
JacobiKAN,24,6,26280,43.99954414367676,tensor 0.305
JacobiKAN,24,10,27368,43.690518856048584,tensor 0.229
JacobiKAN,24,16,29000,43.50589394569397,tensor 0.211
JacobiKAN,24,24,31176,43.6087920665741,tensor 0.215
JacobiKAN,32,6,34736,44.288347244262695,tensor 0.283
JacobiKAN,32,10,35984,44.22900891304016,tensor 0.220
JacobiKAN,32,16,37856,43.89762806892395,tensor 0.214
JacobiKAN,32,24,40352,43.878535985946655,tensor 0.217
JacobiKAN,48,6,51648,46.23655915260315,tensor 0.266
JacobiKAN,48,10,53216,46.83299994468689,tensor 0.246
JacobiKAN,48,16,55568,46.00148892402649,tensor 0.216
JacobiKAN,48,24,58704,47.17680287361145,tensor 0.231
JacobiKAN,64,6,68560,51.81823682785034,tensor 0.262
JacobiKAN,64,10,70448,47.42325782775879,tensor 0.232
JacobiKAN,64,16,73280,45.890329122543335,tensor 0.225
JacobiKAN,64,24,77056,47.17560601234436,tensor 0.229
RBFKAN,24,6,27552,40.12059783935547,tensor 0.247
RBFKAN,24,10,29500,40.948070764541626,tensor 0.184
RBFKAN,24,16,32422,40.71492600440979,tensor 0.173
RBFKAN,24,24,36318,40.53042411804199,tensor 0.184
RBFKAN,32,6,36184,41.37524390220642,tensor 0.245
RBFKAN,32,10,38420,40.68077898025513,tensor 0.193
RBFKAN,32,16,41774,40.235575914382935,tensor 0.187
RBFKAN,32,24,46246,40.85830903053284,tensor 0.203
RBFKAN,48,6,53448,40.86815118789673,tensor 0.216
RBFKAN,48,10,56260,40.61882972717285,tensor 0.186
RBFKAN,48,16,60478,41.05280780792236,tensor 0.198
RBFKAN,48,24,66102,40.61733317375183,tensor 0.205
RBFKAN,64,6,70712,41.20639204978943,tensor 0.216
RBFKAN,64,10,74100,40.95587468147278,tensor 0.204
RBFKAN,64,16,79182,40.362927198410034,tensor 0.218
RBFKAN,64,24,85958,40.40453338623047,tensor 0.180
