step,val_cross_entropy_step,val_acc,epoch,val_cross_entropy_epoch,cross_entropy_epoch,cross_entropy_step,train_acc
0,1.9729185662745077,,,,,,
1,1.8718744228718003,,,,,,
2,1.9167453807604167,,,,,,
3,1.9624694428614935,,,,,,
4,1.9645413171196975,,,,,,
5,1.8708832324666396,,,,,,
6,1.9312238475630126,,,,,,
7,1.941566992779603,,,,,,
8,1.869003075161789,,,,,,
9,1.9028330554569828,,,,,,
10,1.830191188484641,,,,,,
40,,0.42542613636363635,0,1.9122045928909621,,,
40,,,0,,2.8334753045416625,,
49,,,1,,,1.730000759342825,0.484375
