val_cross_entropy_step,step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
3.1294665336608887,0,,,,,,
3.1298470497131348,1,,,,,,
,9,3.1296567916870117,0.1533203125,0,,,
,9,,,0,3.4695441722869873,,
2.379831552505493,2,,,,,,
2.407468795776367,3,,,,,,
,19,2.3936500549316406,0.483642578125,1,,,
,19,,,1,2.8587770462036133,,
1.645741581916809,4,,,,,,
1.6222643852233887,5,,,,,,
,29,1.634002923965454,0.683837890625,2,,,
,29,,,2,2.1371676921844482,,
0.985775351524353,6,,,,,,
0.9834098219871521,7,,,,,,
,39,0.9845925569534302,0.80712890625,3,,,
,39,,,3,1.4337471723556519,,
,49,,,4,,0.7950236201286316,0.810546875
0.616891086101532,8,,,,,,
0.6103733777999878,9,,,,,,
,49,0.6136322021484375,0.85791015625,4,,,
,49,,,4,0.9227123260498047,,
0.46016940474510193,10,,,,,,
0.4533241093158722,11,,,,,,
,59,0.45674675703048706,0.874267578125,5,,,
,59,,,5,0.6515072584152222,,
0.39585477113723755,12,,,,,,
0.37426257133483887,13,,,,,,
,69,0.3850586712360382,0.884521484375,6,,,
,69,,,6,0.5179294943809509,,
0.3626866340637207,14,,,,,,
0.36255043745040894,15,,,,,,
,79,0.3626185357570648,0.88818359375,7,,,
,79,,,7,0.4468809962272644,,
0.3611234128475189,16,,,,,,
0.3223543167114258,17,,,,,,
,89,0.34173887968063354,0.89501953125,8,,,
,89,,,8,0.39729082584381104,,
,99,,,9,,0.34296706318855286,0.904296875
0.31031104922294617,18,,,,,,
0.3299909830093384,19,,,,,,
,99,0.32015103101730347,0.905029296875,9,,,
,99,,,9,0.36546674370765686,,
0.30198392271995544,20,,,,,,
0.29606953263282776,21,,,,,,
,109,0.2990267276763916,0.906982421875,10,,,
,109,,,10,0.34151870012283325,,
0.2864280641078949,22,,,,,,
0.28296801447868347,23,,,,,,
,119,0.2846980392932892,0.91064453125,11,,,
,119,,,11,0.3212220072746277,,
0.28203317523002625,24,,,,,,
0.29082468152046204,25,,,,,,
,129,0.28642892837524414,0.91259765625,12,,,
,129,,,12,0.3048776090145111,,
0.2737460136413574,26,,,,,,
0.30779004096984863,27,,,,,,
,139,0.290768027305603,0.910400390625,13,,,
,139,,,13,0.29355117678642273,,
,149,,,14,,0.2942141890525818,0.92333984375
0.28928065299987793,28,,,,,,
0.25647151470184326,29,,,,,,
,149,0.2728760838508606,0.9150390625,14,,,
,149,,,14,0.2798669934272766,,
0.28458744287490845,30,,,,,,
0.2525188624858856,31,,,,,,
,159,0.26855313777923584,0.91552734375,15,,,
,159,,,15,0.27003470063209534,,
0.26875463128089905,32,,,,,,
0.2645765244960785,33,,,,,,
,169,0.26666557788848877,0.912109375,16,,,
,169,,,16,0.2605360150337219,,
0.26054131984710693,34,,,,,,
0.23564288020133972,35,,,,,,
,179,0.24809210002422333,0.919189453125,17,,,
,179,,,17,0.25310856103897095,,
