step,val_cross_entropy_step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0,1.6869191879058603,,,,,,
1,1.6289005829676457,,,,,,
9,,1.6579098854367529,0.60009765625,0,,,
9,,,,0,2.8413784088569605,,
2,0.553186843123258,,,,,,
3,0.5659529637319148,,,,,,
19,,0.5595699034275865,0.815673828125,1,,,
19,,,,1,1.1726244436673998,,
4,0.3258416622526793,,,,,,
5,0.3334324313217297,,,,,,
29,,0.3296370467872045,0.892822265625,2,,,
29,,,,2,0.6030770335476167,,
6,0.24038533852346308,,,,,,
7,0.25026765250360083,,,,,,
39,,0.24532649551353197,0.916748046875,3,,,
39,,,,3,0.40707701163968635,,
49,,,,4,,0.90478515625,0.28596906298803665
8,0.22929453400315075,,,,,,
9,0.23466005536042447,,,,,,
49,,0.23197729468178763,0.921142578125,4,,,
49,,,,4,0.3144982975918203,,
