val_cross_entropy_step,step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0.24382120370864868,31,,,,,,
,159,0.910400390625,0.26648491621017456,15,,,
,159,,,15,0.2824234962463379,,
0.25349482893943787,32,,,,,,
0.2497943937778473,33,,,,,,
,169,0.918701171875,0.2516446113586426,16,,,
,169,,,16,0.27505362033843994,,
0.26358458399772644,34,,,,,,
0.2450590878725052,35,,,,,,
,179,0.913330078125,0.2543218433856964,17,,,
,179,,,17,0.26796334981918335,,
0.2648010849952698,36,,,,,,
0.26621392369270325,37,,,,,,
,189,0.909912109375,0.2655075192451477,18,,,
,189,,,18,0.2620941996574402,,
,199,,,19,,0.9208984375,0.26173630356788635
0.27056145668029785,38,,,,,,
0.24708211421966553,39,,,,,,
,199,0.911376953125,0.2588217854499817,19,,,
,199,,,19,0.25573477149009705,,
0.2328631579875946,40,,,,,,
0.2772117853164673,41,,,,,,
,209,0.915771484375,0.25503748655319214,20,,,
,209,,,20,0.24976634979248047,,
0.25610628724098206,42,,,,,,
0.25408604741096497,43,,,,,,
,219,0.913818359375,0.2550961673259735,21,,,
,219,,,21,0.2439405471086502,,
0.23996703326702118,44,,,,,,
0.2836661636829376,45,,,,,,
,229,0.912841796875,0.2618165910243988,22,,,
,229,,,22,0.2437426596879959,,
0.22099201381206512,46,,,,,,
0.2491418868303299,47,,,,,,
,239,0.921142578125,0.2350669503211975,23,,,
,239,,,23,0.24181613326072693,,
,249,,,24,,0.91943359375,0.2609032094478607
0.24753539264202118,48,,,,,,
0.23030534386634827,49,,,,,,
,249,0.918701171875,0.23892036080360413,24,,,
,249,,,24,0.23889870941638947,,
0.27213054895401,50,,,,,,
0.23898106813430786,51,,,,,,
,259,0.915771484375,0.25555580854415894,25,,,
,259,,,25,0.23321454226970673,,
0.2541698217391968,52,,,,,,
0.22785106301307678,53,,,,,,
,269,0.916015625,0.24101044237613678,26,,,
,269,,,26,0.23350083827972412,,
0.22902019321918488,54,,,,,,
0.24425816535949707,55,,,,,,
,279,0.917724609375,0.23663917183876038,27,,,
,279,,,27,0.23163363337516785,,
0.26671555638313293,56,,,,,,
0.23182621598243713,57,,,,,,
,289,0.920166015625,0.24927088618278503,28,,,
,289,,,28,0.22939857840538025,,
,299,,,29,,0.91796875,0.24183283746242523
0.23415318131446838,58,,,,,,
0.2427963763475418,59,,,,,,
,299,0.9189453125,0.2384747862815857,29,,,
,299,,,29,0.22667059302330017,,
0.23716193437576294,60,,,,,,
0.21359224617481232,61,,,,,,
,309,0.921875,0.22537708282470703,30,,,
,309,,,30,0.22301313281059265,,
0.2466849386692047,62,,,,,,
0.2499617040157318,63,,,,,,
,319,0.915771484375,0.24832332134246826,31,,,
,319,,,31,0.22347664833068848,,
0.25918254256248474,64,,,,,,
0.24707825481891632,65,,,,,,
,329,0.912841796875,0.25313040614128113,32,,,
,329,,,32,0.22118929028511047,,
0.23366783559322357,66,,,,,,
0.24047021567821503,67,,,,,,
,339,0.922119140625,0.2370690256357193,33,,,
,339,,,33,0.21919623017311096,,
,349,,,34,,0.9384765625,0.22350165247917175
0.22929862141609192,68,,,,,,
0.26415133476257324,69,,,,,,
,349,0.916748046875,0.24672497808933258,34,,,
,349,,,34,0.22073134779930115,,
0.24383172392845154,70,,,,,,
0.2520914673805237,71,,,,,,
,359,0.913818359375,0.2479615956544876,35,,,
,359,,,35,0.21783573925495148,,
0.2283550500869751,72,,,,,,
0.25095099210739136,73,,,,,,
,369,0.915771484375,0.23965302109718323,36,,,
,369,,,36,0.21933040022850037,,
0.23247787356376648,74,,,,,,
0.23514416813850403,75,,,,,,
,379,0.920654296875,0.23381102085113525,37,,,
,379,,,37,0.21644386649131775,,
0.23069924116134644,76,,,,,,
0.25837793946266174,77,,,,,,
,389,0.916015625,0.2445385903120041,38,,,
,389,,,38,0.21367497742176056,,
,399,,,39,,0.92578125,0.21940851211547852
