val_cross_entropy_step,step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
3.8039143085479736,0,,,,,,
3.821712017059326,1,,,,,,
,9,3.8128132820129395,0.03955078125,0,,,
,9,,,0,3.8621299266815186,,
3.667263984680176,2,,,,,,
3.6315155029296875,3,,,,,,
,19,3.6493897438049316,0.0478515625,1,,,
,19,,,1,3.6341476440429688,,
3.4840481281280518,4,,,,,,
3.534041166305542,5,,,,,,
,29,3.509044647216797,0.06103515625,2,,,
,29,,,2,3.441556453704834,,
3.3406519889831543,6,,,,,,
3.3327009677886963,7,,,,,,
,39,3.336676597595215,0.089111328125,3,,,
,39,,,3,3.280182361602783,,
,49,,,4,,3.1381008625030518,0.13330078125
3.18208384513855,8,,,,,,
3.1685338020324707,9,,,,,,
,49,3.1753087043762207,0.12109375,4,,,
,49,,,4,3.1238653659820557,,
2.935232639312744,10,,,,,,
2.909409761428833,11,,,,,,
,59,2.922321319580078,0.207275390625,5,,,
,59,,,5,2.953565835952759,,
2.5898189544677734,12,,,,,,
2.5958468914031982,13,,,,,,
,69,2.5928330421447754,0.330078125,6,,,
,69,,,6,2.6863813400268555,,
2.230349063873291,14,,,,,,
2.2144088745117188,15,,,,,,
,79,2.222378969192505,0.445556640625,7,,,
,79,,,7,2.337385892868042,,
1.8039408922195435,16,,,,,,
1.8281447887420654,17,,,,,,
,89,1.8160429000854492,0.56103515625,8,,,
,89,,,8,1.9235022068023682,,
,99,,,9,,1.3635876178741455,0.6787109375
1.4132134914398193,18,,,,,,
1.3948851823806763,19,,,,,,
,99,1.4040493965148926,0.653076171875,9,,,
,99,,,9,1.5021562576293945,,
1.088870882987976,20,,,,,,
1.1388640403747559,21,,,,,,
,109,1.1138675212860107,0.716064453125,10,,,
,109,,,10,1.1363856792449951,,
0.8835741877555847,22,,,,,,
0.914212167263031,23,,,,,,
,119,0.8988931775093079,0.761962890625,11,,,
,119,,,11,0.8707216382026672,,
0.7824563980102539,24,,,,,,
0.7905401587486267,25,,,,,,
,129,0.7864983081817627,0.78857421875,12,,,
,129,,,12,0.6790181398391724,,
0.6785948276519775,26,,,,,,
0.7064778208732605,27,,,,,,
,139,0.6925363540649414,0.8056640625,13,,,
,139,,,13,0.547202467918396,,
,149,,,14,,0.4554530382156372,0.8876953125
0.6779583692550659,28,,,,,,
0.6414574980735779,29,,,,,,
,149,0.6597079038619995,0.813720703125,14,,,
,149,,,14,0.4470548629760742,,
0.6010762453079224,30,,,,,,
