val_cross_entropy_step,step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
3.785917282104492,0,,,,,,
3.7703919410705566,1,,,,,,
,9,3.7781546115875244,0.043212890625,0,,,
,9,,,0,3.8433375358581543,,
3.6037697792053223,2,,,,,,
3.59375262260437,3,,,,,,
,19,3.5987610816955566,0.0517578125,1,,,
,19,,,1,3.611265182495117,,
3.446061611175537,4,,,,,,
3.4289002418518066,5,,,,,,
,29,3.437480926513672,0.07568359375,2,,,
,29,,,2,3.415811061859131,,
3.2776827812194824,6,,,,,,
3.2803516387939453,7,,,,,,
,39,3.279017210006714,0.09521484375,3,,,
,39,,,3,3.2631683349609375,,
,49,,,4,,3.0727665424346924,0.14990234375
3.0545811653137207,8,,,,,,
3.1102867126464844,9,,,,,,
,49,3.0824339389801025,0.1474609375,4,,,
,49,,,4,3.0984771251678467,,
2.8233985900878906,10,,,,,,
2.7810869216918945,11,,,,,,
,59,2.8022427558898926,0.247314453125,5,,,
,59,,,5,2.870816230773926,,
2.5068581104278564,12,,,,,,
2.4681954383850098,13,,,,,,
,69,2.4875268936157227,0.356201171875,6,,,
,69,,,6,2.5906002521514893,,
2.1176717281341553,14,,,,,,
2.1127405166625977,15,,,,,,
,79,2.115206241607666,0.489990234375,7,,,
,79,,,7,2.2429862022399902,,
1.7009923458099365,16,,,,,,
1.7116193771362305,17,,,,,,
,89,1.7063058614730835,0.592529296875,8,,,
,89,,,8,1.8351776599884033,,
,99,,,9,,1.275660514831543,0.71533203125
1.3253517150878906,18,,,,,,
1.3319050073623657,19,,,,,,
,99,1.3286283016204834,0.67626953125,9,,,
,99,,,9,1.4257495403289795,,
1.061255693435669,20,,,,,,
1.0451298952102661,21,,,,,,
,109,1.0531928539276123,0.73046875,10,,,
,109,,,10,1.0726563930511475,,
0.8709729313850403,22,,,,,,
0.8473883867263794,23,,,,,,
,119,0.8591806888580322,0.768798828125,11,,,
,119,,,11,0.8202916383743286,,
0.759026050567627,24,,,,,,
0.7085934281349182,25,,,,,,
,129,0.7338097095489502,0.798828125,12,,,
,129,,,12,0.6403006911277771,,
0.6456400752067566,26,,,,,,
0.6589783430099487,27,,,,,,
,139,0.6523091793060303,0.81591796875,13,,,
,139,,,13,0.5145920515060425,,
,149,,,14,,0.4359019100666046,0.8837890625
0.5936946868896484,28,,,,,,
0.6514860391616821,29,,,,,,
,149,0.6225903630256653,0.820556640625,14,,,
,149,,,14,0.4222981929779053,,
0.5700654983520508,30,,,,,,
0.5850656032562256,31,,,,,,
,159,0.5775655508041382,0.833740234375,15,,,
,159,,,15,0.3527076840400696,,
0.5601732730865479,32,,,,,,
0.5516330003738403,33,,,,,,
,169,0.5559031367301941,0.837890625,16,,,
,169,,,16,0.3006526231765747,,
0.5247446894645691,34,,,,,,
0.5948575139045715,35,,,,,,
,179,0.5598011016845703,0.845703125,17,,,
,179,,,17,0.2605855464935303,,
0.520563006401062,36,,,,,,
0.5484603047370911,37,,,,,,
,189,0.5345116853713989,0.84326171875,18,,,
,189,,,18,0.23179936408996582,,
,199,,,19,,0.2174091339111328,0.94970703125
0.5311300754547119,38,,,,,,
0.5198253393173218,39,,,,,,
,199,0.5254777073860168,0.84619140625,19,,,
,199,,,19,0.20791935920715332,,
0.5720553398132324,40,,,,,,
0.45508062839508057,41,,,,,,
,209,0.5135679841041565,0.851806640625,20,,,
,209,,,20,0.19254198670387268,,
0.509905219078064,42,,,,,,
0.46301430463790894,43,,,,,,
,219,0.48645976185798645,0.86181640625,21,,,
,219,,,21,0.18064884841442108,,
0.48013192415237427,44,,,,,,
0.5240216255187988,45,,,,,,
,229,0.5020767450332642,0.853515625,22,,,
,229,,,22,0.1713152825832367,,
0.48889318108558655,46,,,,,,
0.4729577302932739,47,,,,,,
,239,0.48092544078826904,0.860595703125,23,,,
,239,,,23,0.16363221406936646,,
,249,,,24,,0.1706060767173767,0.95703125
0.5220147371292114,48,,,,,,
0.4789298474788666,49,,,,,,
,249,0.5004723072052002,0.85400390625,24,,,
,249,,,24,0.15752629935741425,,
0.4596913456916809,50,,,,,,
0.4693090319633484,51,,,,,,
,259,0.46450018882751465,0.8662109375,25,,,
,259,,,25,0.1545524001121521,,
0.4667760133743286,52,,,,,,
0.46670374274253845,53,,,,,,
,269,0.4667398929595947,0.860595703125,26,,,
,269,,,26,0.15016639232635498,,
0.4576251208782196,54,,,,,,
0.45959609746932983,55,,,,,,
,279,0.4586105942726135,0.864013671875,27,,,
,279,,,27,0.1471019685268402,,
0.40206724405288696,56,,,,,,
0.4754316508769989,57,,,,,,
,289,0.43874943256378174,0.870849609375,28,,,
,289,,,28,0.14611653983592987,,
,299,,,29,,0.1541575938463211,0.9609375
0.3964883089065552,58,,,,,,
0.46722590923309326,59,,,,,,
,299,0.4318571090698242,0.8720703125,29,,,
,299,,,29,0.14253130555152893,,
0.44044867157936096,60,,,,,,
0.43700745701789856,61,,,,,,
,309,0.43872806429862976,0.869140625,30,,,
,309,,,30,0.14176705479621887,,
0.44732266664505005,62,,,,,,
0.4387781620025635,63,,,,,,
,319,0.44305041432380676,0.87060546875,31,,,
,319,,,31,0.14163905382156372,,
0.42183202505111694,64,,,,,,
0.42503851652145386,65,,,,,,
,329,0.4234352707862854,0.8701171875,32,,,
,329,,,32,0.13870516419410706,,
0.41102364659309387,66,,,,,,
0.42531532049179077,67,,,,,,
,339,0.4181694984436035,0.878173828125,33,,,
,339,,,33,0.13727423548698425,,
,349,,,34,,0.1502304971218109,0.96044921875
0.43552082777023315,68,,,,,,
0.4171604514122009,69,,,,,,
,349,0.42634063959121704,0.873291015625,34,,,
,349,,,34,0.13755197823047638,,
0.4466773569583893,70,,,,,,
0.40112781524658203,71,,,,,,
,359,0.42390257120132446,0.875732421875,35,,,
,359,,,35,0.13825732469558716,,
0.4075962007045746,72,,,,,,
0.4356420338153839,73,,,,,,
,369,0.42161911725997925,0.870361328125,36,,,
,369,,,36,0.1342616081237793,,
0.4262849688529968,74,,,,,,
0.40124017000198364,75,,,,,,
,379,0.41376256942749023,0.874267578125,37,,,
,379,,,37,0.13311290740966797,,
0.39979302883148193,76,,,,,,
0.3906959593296051,77,,,,,,
,389,0.3952444791793823,0.882080078125,38,,,
,389,,,38,0.13434702157974243,,
,399,,,39,,0.14993064105510712,0.95654296875
0.41030389070510864,78,,,,,,
0.4148665964603424,79,,,,,,
,399,0.4125852584838867,0.87841796875,39,,,
,399,,,39,0.13057003915309906,,
0.38739559054374695,80,,,,,,
0.418518990278244,81,,,,,,
,409,0.4029572904109955,0.8779296875,40,,,
,409,,,40,0.12875688076019287,,
0.39065390825271606,82,,,,,,
0.40450936555862427,83,,,,,,
,419,0.39758163690567017,0.8798828125,41,,,
,419,,,41,0.12870478630065918,,
0.4056306779384613,84,,,,,,
0.4150881767272949,85,,,,,,
,429,0.4103594422340393,0.875244140625,42,,,
