val_cross_entropy_step,step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,train_acc,cross_entropy_step
2.539980411529541,0,,,,,,
2.514514684677124,1,,,,,,
2.5692856311798096,2,,,,,,
2.5972840785980225,3,,,,,,
2.4957785606384277,4,,,,,,
2.502403736114502,5,,,,,,
2.4826745986938477,6,,,,,,
2.508496046066284,7,,,,,,
2.5402750968933105,8,,,,,,
2.564051389694214,9,,,,,,
2.5256569385528564,10,,,,,,
,40,0.5415483117103577,2.530945301055908,0,,,
,40,,,0,3.085160732269287,,
,49,,,1,,0.484375,2.6346640586853027
2.1236231327056885,11,,,,,,
2.211477279663086,12,,,,,,
2.1923794746398926,13,,,,,,
2.2048819065093994,14,,,,,,
2.1824986934661865,15,,,,,,
2.1719725131988525,16,,,,,,
2.201908826828003,17,,,,,,
2.148068428039551,18,,,,,,
2.1953518390655518,19,,,,,,
2.2029523849487305,20,,,,,,
2.1985461711883545,21,,,,,,
,81,0.7698863744735718,2.18487811088562,1,,,
,81,,,1,2.51096773147583,,
,99,,,2,,0.63671875,2.0624074935913086
