step,val_cross_entropy_step,val_cross_entropy_epoch,epoch,val_acc,cross_entropy_epoch,cross_entropy_step,train_acc
0,1.128004539149338,,,,,,
1,1.248811240331742,,,,,,
2,1.1695456421801633,,,,,,
3,1.153389814951588,,,,,,
4,1.1715319542076899,,,,,,
5,1.1523936201430585,,,,,,
6,1.1053175817444598,,,,,,
7,1.134443766241318,,,,,,
8,1.1271330593782,,,,,,
9,1.2080476645694456,,,,,,
10,1.1340581555868279,,,,,,
40,,1.157516094407621,0,0.7018821022727273,,,
40,,,0,,2.4833498808413648,,
49,,,1,,,1.009133309458704,0.74609375
11,0.4305681964005085,,,,,,
12,0.4329460591847411,,,,,,
13,0.5508365294824524,,,,,,
14,0.5261796568504769,,,,,,
15,0.4413343426397353,,,,,,
16,0.4186267392855343,,,,,,
17,0.47348781706411736,,,,,,
18,0.43212891195159386,,,,,,
19,0.49664863473589627,,,,,,
20,0.49725280746225853,,,,,,
21,0.5112199579577948,,,,,,
81,,0.47374815027410083,1,0.8615056818181818,,,
81,,,1,,0.8618501611651491,,
