val_cross_entropy_step,step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
3.1979587078094482,0,,,,,,
3.215318441390991,1,,,,,,
,9,3.2066385746002197,0.11376953125,0,,,
,9,,,0,3.5162792205810547,,
2.436819076538086,2,,,,,,
2.4529998302459717,3,,,,,,
,19,2.4449095726013184,0.498779296875,1,,,
,19,,,1,2.8759140968322754,,
1.6134686470031738,4,,,,,,
1.6433327198028564,5,,,,,,
,29,1.6284006834030151,0.726806640625,2,,,
,29,,,2,2.143627166748047,,
0.9687429666519165,6,,,,,,
0.9544132351875305,7,,,,,,
,39,0.9615781307220459,0.810791015625,3,,,
,39,,,3,1.4172241687774658,,
,49,,,4,,0.7879209518432617,0.806640625
0.6201521158218384,8,,,,,,
0.6492658853530884,9,,,,,,
,49,0.6347090005874634,0.849853515625,4,,,
,49,,,4,0.9168658256530762,,
0.4879704713821411,10,,,,,,
0.48381510376930237,11,,,,,,
,59,0.48589277267456055,0.86865234375,5,,,
,59,,,5,0.6591752767562866,,
0.4264768362045288,12,,,,,,
0.3974028527736664,13,,,,,,
,69,0.4119398593902588,0.878662109375,6,,,
,69,,,6,0.5293284058570862,,
0.3651806712150574,14,,,,,,
0.3789876103401184,15,,,,,,
,79,0.3720841407775879,0.888916015625,7,,,
,79,,,7,0.4534381031990051,,
0.35182225704193115,16,,,,,,
0.33845216035842896,17,,,,,,
,89,0.34513720870018005,0.89697265625,8,,,
,89,,,8,0.4046901762485504,,
,99,,,9,,0.38173216581344604,0.88720703125
0.2969854176044464,18,,,,,,
0.3447425067424774,19,,,,,,
,99,0.3208639621734619,0.9052734375,9,,,
,99,,,9,0.37287387251853943,,
0.2935105562210083,20,,,,,,
0.31765589118003845,21,,,,,,
,109,0.30558323860168457,0.91015625,10,,,
,109,,,10,0.3465012013912201,,
0.292331725358963,22,,,,,,
0.32105183601379395,23,,,,,,
,119,0.3066917657852173,0.902587890625,11,,,
,119,,,11,0.3271898329257965,,
0.28659969568252563,24,,,,,,
0.3109762370586395,25,,,,,,
,129,0.2987879514694214,0.906494140625,12,,,
,129,,,12,0.31361547112464905,,
