val_cross_entropy_step,step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,train_acc,cross_entropy_step
3.2738640308380127,0,,,,,,
3.2692549228668213,1,,,,,,
,9,0.19091796875,3.271559476852417,0,,,
,9,,,0,3.388253688812256,,
2.7236979007720947,2,,,,,,
2.713056802749634,3,,,,,,
,19,0.48486328125,2.7183773517608643,1,,,
,19,,,1,3.09053111076355,,
1.6853269338607788,4,,,,,,
1.7199394702911377,5,,,,,,
,29,0.610107421875,1.7026331424713135,2,,,
,29,,,2,2.3364338874816895,,
0.8731447458267212,6,,,,,,
0.8670787215232849,7,,,,,,
,39,0.791259765625,0.8701117038726807,3,,,
,39,,,3,1.4052088260650635,,
,49,,,4,,0.80810546875,0.6879863739013672
0.5339462757110596,8,,,,,,
0.5415512323379517,9,,,,,,
,49,0.8505859375,0.5377487540245056,4,,,
,49,,,4,0.8198440670967102,,
0.4092946946620941,10,,,,,,
0.41061922907829285,11,,,,,,
,59,0.87841796875,0.4099569618701935,5,,,
,59,,,5,0.6020308136940002,,
0.3665412664413452,12,,,,,,
0.3469567894935608,13,,,,,,
,69,0.88427734375,0.356749027967453,6,,,
,69,,,6,0.5004788637161255,,
0.34437665343284607,14,,,,,,
0.32429566979408264,15,,,,,,
,79,0.888671875,0.33433616161346436,7,,,
,79,,,7,0.44202104210853577,,
0.32745683193206787,16,,,,,,
0.3364258408546448,17,,,,,,
,89,0.8935546875,0.3319413363933563,8,,,
,89,,,8,0.400064617395401,,
,99,,,9,,0.89013671875,0.37414562702178955
0.318512499332428,18,,,,,,
0.3305710256099701,19,,,,,,
,99,0.891845703125,0.32454174757003784,9,,,
,99,,,9,0.3752896189689636,,
0.2870577573776245,20,,,,,,
0.27877771854400635,21,,,,,,
,109,0.9072265625,0.28291773796081543,10,,,
,109,,,10,0.35181379318237305,,
0.2822064757347107,22,,,,,,
0.27402976155281067,23,,,,,,
,119,0.907958984375,0.2781181335449219,11,,,
,119,,,11,0.33349892497062683,,
0.3025935888290405,24,,,,,,
0.2957478165626526,25,,,,,,
,129,0.904541015625,0.29917070269584656,12,,,
,129,,,12,0.323500394821167,,
0.2927391827106476,26,,,,,,
0.2917364835739136,27,,,,,,
,139,0.898193359375,0.2922378182411194,13,,,
,139,,,13,0.3084823489189148,,
,149,,,14,,0.912109375,0.3189590573310852
0.2554267644882202,28,,,,,,
0.2536294758319855,29,,,,,,
,149,0.91943359375,0.25452810525894165,14,,,
,149,,,14,0.2964112162590027,,
0.2689635753631592,30,,,,,,
0.24874290823936462,31,,,,,,
,159,0.91455078125,0.2588532567024231,15,,,
,159,,,15,0.28538021445274353,,
0.25953409075737,32,,,,,,
0.26975783705711365,33,,,,,,
,169,0.9140625,0.2646459639072418,16,,,
,169,,,16,0.2783503234386444,,
0.2715143859386444,34,,,,,,
0.26506465673446655,35,,,,,,
,179,0.909912109375,0.2682895064353943,17,,,
,179,,,17,0.2710797190666199,,
0.2558566927909851,36,,,,,,
0.24404560029506683,37,,,,,,
,189,0.9140625,0.24995115399360657,18,,,
,189,,,18,0.26253390312194824,,
,199,,,19,,0.91650390625,0.26752394437789917
0.25484591722488403,38,,,,,,
0.2551776170730591,39,,,,,,
,199,0.915771484375,0.25501176714897156,19,,,
,199,,,19,0.25741487741470337,,
0.2770920693874359,40,,,,,,
0.24145323038101196,41,,,,,,
,209,0.9091796875,0.25927263498306274,20,,,
,209,,,20,0.25284531712532043,,
0.22320832312107086,42,,,,,,
0.25270336866378784,43,,,,,,
,219,0.9228515625,0.23795583844184875,21,,,
,219,,,21,0.24709288775920868,,
0.2542817294597626,44,,,,,,
0.27604350447654724,45,,,,,,
,229,0.90966796875,0.2651626169681549,22,,,
,229,,,22,0.24544186890125275,,
0.25423288345336914,46,,,,,,
0.24515870213508606,47,,,,,,
,239,0.915283203125,0.2496957927942276,23,,,
,239,,,23,0.24175801873207092,,
