val_cross_entropy_step,step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
3.1591837406158447,0,,,,,,
3.1473631858825684,1,,,,,,
,9,3.153273582458496,0.128662109375,0,,,
,9,,,0,3.5299248695373535,,
2.361781120300293,2,,,,,,
2.3664402961730957,3,,,,,,
,19,2.3641107082366943,0.488525390625,1,,,
,19,,,1,2.841087818145752,,
1.5687350034713745,4,,,,,,
1.5635616779327393,5,,,,,,
,29,1.566148281097412,0.7177734375,2,,,
,29,,,2,2.0774312019348145,,
0.9535790681838989,6,,,,,,
0.9381009340286255,7,,,,,,
,39,0.9458400011062622,0.810302734375,3,,,
,39,,,3,1.3777151107788086,,
,49,,,4,,0.8040838837623596,0.802734375
0.5935073494911194,8,,,,,,
0.6428931355476379,9,,,,,,
,49,0.6182002425193787,0.849853515625,4,,,
,49,,,4,0.9054207801818848,,
0.45429155230522156,10,,,,,,
0.49306732416152954,11,,,,,,
,59,0.47367942333221436,0.87109375,5,,,
,59,,,5,0.6614891290664673,,
0.4176364839076996,12,,,,,,
0.4062795341014862,13,,,,,,
,69,0.4119580090045929,0.88037109375,6,,,
,69,,,6,0.5363042950630188,,
0.3668142855167389,14,,,,,,
0.36485323309898376,15,,,,,,
,79,0.36583375930786133,0.888427734375,7,,,
,79,,,7,0.45796194672584534,,
0.33924034237861633,16,,,,,,
0.35834404826164246,17,,,,,,
,89,0.3487921953201294,0.888916015625,8,,,
,89,,,8,0.4078906178474426,,
,99,,,9,,0.3761483132839203,0.88623046875
0.35465171933174133,18,,,,,,
0.33019566535949707,19,,,,,,
,99,0.342423677444458,0.890380859375,9,,,
,99,,,9,0.37312036752700806,,
0.31991249322891235,20,,,,,,
0.31937432289123535,21,,,,,,
,109,0.31964340806007385,0.902099609375,10,,,
,109,,,10,0.35057854652404785,,
0.30715346336364746,22,,,,,,
0.29469066858291626,23,,,,,,
,119,0.30092206597328186,0.909423828125,11,,,
,119,,,11,0.33073002099990845,,
0.2894760072231293,24,,,,,,
0.2922718822956085,25,,,,,,
,129,0.2908739447593689,0.913330078125,12,,,
,129,,,12,0.3132575452327728,,
0.27724340558052063,26,,,,,,
0.28711575269699097,27,,,,,,
,139,0.282179594039917,0.911865234375,13,,,
,139,,,13,0.2955993115901947,,
,149,,,14,,0.2887299954891205,0.91650390625
0.2863619327545166,28,,,,,,
0.2887413203716278,29,,,,,,
,149,0.2875516414642334,0.907958984375,14,,,
,149,,,14,0.283601313829422,,
0.27762570977211,30,,,,,,
0.28612419962882996,31,,,,,,
,159,0.28187495470046997,0.90966796875,15,,,
,159,,,15,0.2726690173149109,,
0.27399715781211853,32,,,,,,
0.25251975655555725,33,,,,,,
,169,0.2632584571838379,0.914794921875,16,,,
,169,,,16,0.2647966742515564,,
