step,val_cross_entropy_step,epoch,val_acc,val_cross_entropy_epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0,3.478578567504883,,,,,,
1,3.431628704071045,,,,,,
2,3.541109561920166,,,,,,
3,3.5203421115875244,,,,,,
4,3.482452869415283,,,,,,
5,3.525149345397949,,,,,,
6,3.5079429149627686,,,,,,
7,3.5175724029541016,,,,,,
8,3.534512758255005,,,,,,
9,3.525982141494751,,,,,,
10,3.53426456451416,,,,,,
40,,0,0.06019176170229912,3.5090484619140625,,,
40,,0,,,3.7203288078308105,,
49,,1,,,,0.046875,3.487982749938965
11,3.1250247955322266,,,,,,
12,3.1932244300842285,,,,,,
13,3.1661572456359863,,,,,,
14,3.144949436187744,,,,,,
15,3.1717448234558105,,,,,,
16,3.1356201171875,,,,,,
17,3.1413497924804688,,,,,,
18,3.1510329246520996,,,,,,
19,3.211761951446533,,,,,,
20,3.1640570163726807,,,,,,
21,3.19783878326416,,,,,,
81,,1,0.12056107819080353,3.1638872623443604,,,
81,,1,,,3.3632686138153076,,
99,,2,,,,0.205078125,2.953320026397705
22,2.4597418308258057,,,,,,
23,2.411684989929199,,,,,,
24,2.442805051803589,,,,,,
25,2.454680919647217,,,,,,
26,2.4363186359405518,,,,,,
27,2.458709716796875,,,,,,
28,2.4771296977996826,,,,,,
29,2.44671368598938,,,,,,
30,2.423290729522705,,,,,,
31,2.486215591430664,,,,,,
32,2.4519095420837402,,,,,,
122,,2,0.3728693127632141,2.44992733001709,,,
122,,2,,,2.885124683380127,,
149,,3,,,,0.537109375,1.807841420173645
33,1.3211114406585693,,,,,,
34,1.2353843450546265,,,,,,
35,1.2964720726013184,,,,,,
36,1.3949077129364014,,,,,,
37,1.311171531677246,,,,,,
38,1.2668230533599854,,,,,,
39,1.2930335998535156,,,,,,
40,1.252760648727417,,,,,,
41,1.350147008895874,,,,,,
42,1.3556487560272217,,,,,,
43,1.2949529886245728,,,,,,
163,,3,0.6807528138160706,1.306583046913147,,,
163,,3,,,1.919728398323059,,
199,,4,,,,0.763671875,0.8322066068649292
44,0.6514711976051331,,,,,,
45,0.7133797407150269,,,,,,
46,0.694053053855896,,,,,,
47,0.6527230739593506,,,,,,
48,0.6548359394073486,,,,,,
49,0.7771518230438232,,,,,,
50,0.7275922894477844,,,,,,
51,0.6979858875274658,,,,,,
52,0.6902884244918823,,,,,,
53,0.6456189751625061,,,,,,
54,0.6867130398750305,,,,,,
204,,4,0.8165838122367859,0.6901648640632629,,,
204,,4,,,1.0062885284423828,,
55,0.6200448870658875,,,,,,
56,0.5109339952468872,,,,,,
57,0.48497867584228516,,,,,,
58,0.5240404605865479,,,,,,
59,0.571950376033783,,,,,,
60,0.530897855758667,,,,,,
61,0.45187515020370483,,,,,,
62,0.6001684069633484,,,,,,
63,0.48926058411598206,,,,,,
64,0.5105535387992859,,,,,,
65,0.5121580958366394,,,,,,
245,,5,0.8547585010528564,0.527896523475647,,,
245,,5,,,0.6022962331771851,,
249,,6,,,,0.8828125,0.4469335675239563
66,0.4515477120876312,,,,,,
67,0.48767977952957153,,,,,,
68,0.44095104932785034,,,,,,
69,0.48625311255455017,,,,,,
70,0.45530349016189575,,,,,,
71,0.41780588030815125,,,,,,
72,0.49177560210227966,,,,,,
73,0.48285606503486633,,,,,,
74,0.39048874378204346,,,,,,
75,0.473010390996933,,,,,,
76,0.4265052378177643,,,,,,
286,,6,0.8698508739471436,0.45492517948150635,,,
286,,6,,,0.4288351833820343,,
299,,7,,,,0.912109375,0.3118099570274353
77,0.4161602258682251,,,,,,
78,0.48397818207740784,,,,,,
79,0.41928017139434814,,,,,,
80,0.45958322286605835,,,,,,
81,0.4223853647708893,,,,,,
82,0.3647063076496124,,,,,,
83,0.3920530378818512,,,,,,
84,0.47606924176216125,,,,,,
85,0.4100394546985626,,,,,,
86,0.44083553552627563,,,,,,
87,0.5203945636749268,,,,,,
327,,7,0.8735795617103577,0.43686234951019287,,,
327,,7,,,0.34248197078704834,,
349,,8,,,,0.9140625,0.2875101864337921
88,0.3816407322883606,,,,,,
89,0.3796621263027191,,,,,,
90,0.45854508876800537,,,,,,
91,0.4437260329723358,,,,,,
92,0.4289233088493347,,,,,,
93,0.3904130458831787,,,,,,
94,0.44995254278182983,,,,,,
95,0.4272685945034027,,,,,,
96,0.4021689295768738,,,,,,
97,0.43019410967826843,,,,,,
98,0.4065857231616974,,,,,,
368,,8,0.8780184388160706,0.41809818148612976,,,
368,,8,,,0.30745840072631836,,
399,,9,,,,0.884765625,0.34691110253334045
99,0.33493149280548096,,,,,,
100,0.423277884721756,,,,,,
101,0.43960264325141907,,,,,,
102,0.4290667772293091,,,,,,
103,0.4037739634513855,,,,,,
104,0.42489442229270935,,,,,,
105,0.40738943219184875,,,,,,
106,0.3446882963180542,,,,,,
107,0.3901299238204956,,,,,,
108,0.4441184401512146,,,,,,
109,0.4049495756626129,,,,,,
409,,9,0.8824573755264282,0.4042566418647766,,,
409,,9,,,0.29966339468955994,,
449,,10,,,,0.8828125,0.38414838910102844
110,0.42684072256088257,,,,,,
111,0.38872629404067993,,,,,,
112,0.4611590802669525,,,,,,
113,0.4163801372051239,,,,,,
114,0.3970879316329956,,,,,,
115,0.4557611644268036,,,,,,
116,0.39376938343048096,,,,,,
117,0.36429840326309204,,,,,,
118,0.4126735031604767,,,,,,
119,0.3582017719745636,,,,,,
120,0.44571301341056824,,,,,,
450,,10,0.8801491260528564,0.410964697599411,,,
450,,10,,,0.30828192830085754,,
121,0.30171099305152893,,,,,,
122,0.40525978803634644,,,,,,
123,0.41093942523002625,,,,,,
124,0.4422709345817566,,,,,,
125,0.4913851320743561,,,,,,
126,0.37534844875335693,,,,,,
127,0.4044613838195801,,,,,,
128,0.41704702377319336,,,,,,
129,0.3545398414134979,,,,,,
130,0.3721119463443756,,,,,,
131,0.381647527217865,,,,,,
491,,11,0.8824573755264282,0.39606568217277527,,,
491,,11,,,0.3368629813194275,,
499,,12,,,,0.916015625,0.30380165576934814
132,0.36448875069618225,,,,,,
133,0.45457544922828674,,,,,,
134,0.4433133006095886,,,,,,
135,0.374927282333374,,,,,,
136,0.388884961605072,,,,,,
137,0.37428900599479675,,,,,,
138,0.4309804439544678,,,,,,
139,0.46962103247642517,,,,,,
140,0.33532801270484924,,,,,,
141,0.4434019923210144,,,,,,
142,0.4176011085510254,,,,,,
532,,12,0.8813920617103577,0.4088555574417114,,,
532,,12,,,0.33758896589279175,,
549,,13,,,,0.900390625,0.3439937233924866
143,0.3441305160522461,,,,,,
144,0.40383923053741455,,,,,,
145,0.37059831619262695,,,,,,
146,0.3588414490222931,,,,,,
147,0.4404667913913727,,,,,,
148,0.36075666546821594,,,,,,
149,0.4087407886981964,,,,,,
150,0.40566933155059814,,,,,,
151,0.4061880111694336,,,,,,
152,0.42105260491371155,,,,,,
153,0.4064692258834839,,,,,,
573,,13,0.8817471861839294,0.39334115386009216,,,
573,,13,,,0.33920028805732727,,
599,,14,,,,0.912109375,0.3057398200035095
154,0.3752060532569885,,,,,,
155,0.3626532554626465,,,,,,
156,0.4074058532714844,,,,,,
157,0.3827403783798218,,,,,,
158,0.3968992531299591,,,,,,
159,0.46423667669296265,,,,,,
160,0.36719465255737305,,,,,,
161,0.35969820618629456,,,,,,
162,0.3982852101325989,,,,,,
163,0.38790974020957947,,,,,,
164,0.37417396903038025,,,,,,
614,,14,0.8900923132896423,0.3887639045715332,,,
614,,14,,,0.34486934542655945,,
649,,15,,,,0.87890625,0.42828625440597534
165,0.37401288747787476,,,,,,
166,0.40380826592445374,,,,,,
167,0.40861356258392334,,,,,,
168,0.4062865376472473,,,,,,
169,0.3422662019729614,,,,,,
170,0.4636819064617157,,,,,,
171,0.3853897154331207,,,,,,
172,0.4112356901168823,,,,,,
173,0.35364314913749695,,,,,,
174,0.44042766094207764,,,,,,
175,0.4408099949359894,,,,,,
655,,15,0.8870738744735718,0.40274325013160706,,,
655,,15,,,0.3615345060825348,,
176,0.40721750259399414,,,,,,
177,0.4023517668247223,,,,,,
178,0.37821632623672485,,,,,,
179,0.39512282609939575,,,,,,
180,0.3841998279094696,,,,,,
181,0.40682560205459595,,,,,,
182,0.43152350187301636,,,,,,
183,0.3766009211540222,,,,,,
184,0.37398144602775574,,,,,,
185,0.40894123911857605,,,,,,
186,0.4501977264881134,,,,,,
696,,16,0.8879616260528564,0.40137988328933716,,,
696,,16,,,0.3709782660007477,,
699,,17,,,,0.90234375,0.33477216958999634
187,0.35372328758239746,,,,,,
188,0.4797522723674774,,,,,,
189,0.42231473326683044,,,,,,
190,0.384987473487854,,,,,,
191,0.4627499580383301,,,,,,
192,0.42607250809669495,,,,,,
193,0.44763386249542236,,,,,,
194,0.4529477655887604,,,,,,
195,0.3877963125705719,,,,,,
196,0.3881829082965851,,,,,,
197,0.3782830536365509,,,,,,
737,,17,0.8799715638160706,0.4167676866054535,,,
737,,17,,,0.3869056701660156,,
749,,18,,,,0.869140625,0.4226740598678589
198,0.41227686405181885,,,,,,
199,0.389478474855423,,,,,,
200,0.4413332939147949,,,,,,
201,0.39157623052597046,,,,,,
202,0.43672865629196167,,,,,,
203,0.37486571073532104,,,,,,
204,0.36072713136672974,,,,,,
205,0.46016761660575867,,,,,,
206,0.4213980734348297,,,,,,
207,0.4283117353916168,,,,,,
208,0.42822203040122986,,,,,,
778,,18,0.8826349377632141,0.4131896197795868,,,
778,,18,,,0.42104828357696533,,
799,,19,,,,0.888671875,0.41257524490356445
209,0.4929681718349457,,,,,,
210,0.39905914664268494,,,,,,
211,0.430955171585083,,,,,,
212,0.3615647554397583,,,,,,
213,0.40349212288856506,,,,,,
214,0.45851537585258484,,,,,,
215,0.47407037019729614,,,,,,
216,0.4250413477420807,,,,,,
217,0.47179654240608215,,,,,,
218,0.4506009519100189,,,,,,
219,0.3908950686454773,,,,,,
819,,19,0.8764204382896423,0.4326326251029968,,,
819,,19,,,0.4178372919559479,,
849,,20,,,,0.83984375,0.49744927883148193
220,0.43938153982162476,,,,,,
221,0.46074342727661133,,,,,,
222,0.5469218492507935,,,,,,
223,0.46650779247283936,,,,,,
224,0.42631158232688904,,,,,,
225,0.46955254673957825,,,,,,
226,0.4658950865268707,,,,,,
227,0.47071948647499084,,,,,,
228,0.4872853755950928,,,,,,
229,0.40071046352386475,,,,,,
230,0.4670484960079193,,,,,,
860,,20,0.8694957494735718,0.46373435854911804,,,
860,,20,,,0.4320334792137146,,
899,,21,,,,0.85546875,0.5443659424781799
231,0.45559629797935486,,,,,,
232,0.5089971423149109,,,,,,
233,0.4713962972164154,,,,,,
