val_cross_entropy_step,step,val_cross_entropy_epoch,epoch,val_acc,cross_entropy_epoch,cross_entropy_step,train_acc
,299,,29,,0.611860990524292,,
1.2415035963058472,60,,,,,,
1.2753874063491821,61,,,,,,
,309,1.2584455013275146,30,0.646240234375,,,
,309,,30,,0.5656421780586243,,
1.2481104135513306,62,,,,,,
1.1902074813842773,63,,,,,,
,319,1.2191588878631592,31,0.66064453125,,,
,319,,31,,0.5243216753005981,,
1.192733883857727,64,,,,,,
1.192366123199463,65,,,,,,
,329,1.1925499439239502,32,0.6611328125,,,
,329,,32,,0.48402151465415955,,
1.1583811044692993,66,,,,,,
1.1612187623977661,67,,,,,,
,339,1.1597999334335327,33,0.6767578125,,,
,339,,33,,0.452556848526001,,
,349,,34,,,0.4620520770549774,0.90234375
1.1418418884277344,68,,,,,,
1.1162164211273193,69,,,,,,
,349,1.1290291547775269,34,0.68017578125,,,
,349,,34,,0.426724910736084,,
1.0929895639419556,70,,,,,,
1.1036325693130493,71,,,,,,
,359,1.0983110666275024,35,0.690673828125,,,
,359,,35,,0.3993925452232361,,
1.1055387258529663,72,,,,,,
1.0953569412231445,73,,,,,,
,369,1.1004478931427002,36,0.6884765625,,,
,369,,36,,0.3787142336368561,,
1.0743719339370728,74,,,,,,
1.0568335056304932,75,,,,,,
,379,1.0656027793884277,37,0.698974609375,,,
,379,,37,,0.36032360792160034,,
1.0320487022399902,76,,,,,,
1.010474443435669,77,,,,,,
,389,1.0212615728378296,38,0.71044921875,,,
,389,,38,,0.34244421124458313,,
