step,val_cross_entropy_step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
349,,,,8,,3.4024834632873535,0.03125
88,3.3955078125,,,,,,
89,3.4036705493927,,,,,,
90,3.4044976234436035,,,,,,
91,3.404208183288574,,,,,,
92,3.400851249694824,,,,,,
93,3.410001277923584,,,,,,
94,3.402698278427124,,,,,,
95,3.404728651046753,,,,,,
96,3.402843475341797,,,,,,
97,3.3984627723693848,,,,,,
98,3.410017728805542,,,,,,
368,,0.03373579680919647,3.4034080505371094,8,,,
368,,,,8,3.40409255027771,,
399,,,,9,,3.402266025543213,0.025390625
99,3.4070911407470703,,,,,,
100,3.3979036808013916,,,,,,
101,3.4080517292022705,,,,,,
102,3.4048633575439453,,,,,,
103,3.4103496074676514,,,,,,
104,3.396547555923462,,,,,,
105,3.39898419380188,,,,,,
106,3.4045515060424805,,,,,,
107,3.412306070327759,,,,,,
108,3.4053168296813965,,,,,,
109,3.4069507122039795,,,,,,
409,,0.03373579680919647,3.404810905456543,9,,,
409,,,,9,3.4047627449035645,,
449,,,,10,,3.410069704055786,0.017578125
110,3.402211904525757,,,,,,
111,3.4110324382781982,,,,,,
112,3.3991363048553467,,,,,,
113,3.397365093231201,,,,,,
114,3.4027538299560547,,,,,,
115,3.4031436443328857,,,,,,
116,3.401567220687866,,,,,,
117,3.4083919525146484,,,,,,
118,3.409215211868286,,,,,,
119,3.4032793045043945,,,,,,
120,3.398918867111206,,,,,,
450,,0.03338068351149559,3.403365135192871,10,,,
450,,,,10,3.4052369594573975,,
121,3.402503728866577,,,,,,
122,3.408867835998535,,,,,,
123,3.407310724258423,,,,,,
124,3.407891273498535,,,,,,
125,3.4020044803619385,,,,,,
126,3.4035091400146484,,,,,,
127,3.401113271713257,,,,,,
128,3.402625799179077,,,,,,
129,3.4022674560546875,,,,,,
130,3.39982533454895,,,,,,
131,3.401622772216797,,,,,,
491,,0.03284801170229912,3.403594732284546,11,,,
491,,,,11,3.404564142227173,,
499,,,,12,,3.4032914638519287,0.033203125
132,3.4001965522766113,,,,,,
133,3.403228759765625,,,,,,
134,3.407419443130493,,,,,,
135,3.4034297466278076,,,,,,
136,3.4107038974761963,,,,,,
137,3.405747890472412,,,,,,
138,3.4031448364257812,,,,,,
139,3.402892827987671,,,,,,
140,3.396416425704956,,,,,,
141,3.4081552028656006,,,,,,
142,3.4020328521728516,,,,,,
532,,0.03373579680919647,3.403942346572876,12,,,
532,,,,12,3.405684232711792,,
549,,,,13,,3.404912233352661,0.025390625
143,3.4064934253692627,,,,,,
144,3.403899908065796,,,,,,
145,3.403160572052002,,,,,,
146,3.4025416374206543,,,,,,
147,3.4028854370117188,,,,,,
148,3.40527606010437,,,,,,
149,3.4069340229034424,,,,,,
150,3.4013419151306152,,,,,,
151,3.400158643722534,,,,,,
152,3.403559923171997,,,,,,
153,3.405271053314209,,,,,,
573,,0.03338068351149559,3.4037744998931885,13,,,
573,,,,13,3.404505729675293,,
599,,,,14,,3.4076008796691895,0.0234375
154,3.4019086360931396,,,,,,
155,3.4073846340179443,,,,,,
156,3.4030559062957764,,,,,,
157,3.4024150371551514,,,,,,
158,3.40205454826355,,,,,,
159,3.3974404335021973,,,,,,
160,3.4052090644836426,,,,,,
161,3.4014101028442383,,,,,,
162,3.401961088180542,,,,,,
163,3.4085426330566406,,,,,,
164,3.4040777683258057,,,,,,
614,,0.033203125,3.4032235145568848,14,,,
614,,,,14,3.4053657054901123,,
649,,,,15,,3.4043421745300293,0.033203125
165,3.4031665325164795,,,,,,
166,3.403057813644409,,,,,,
167,3.4034082889556885,,,,,,
168,3.4029605388641357,,,,,,
169,3.4072439670562744,,,,,,
170,3.403714179992676,,,,,,
171,3.4027602672576904,,,,,,
172,3.4128482341766357,,,,,,
173,3.403244972229004,,,,,,
174,3.40325927734375,,,,,,
175,3.407623052597046,,,,,,
655,,0.03373579680919647,3.4048445224761963,15,,,
655,,,,15,3.4048144817352295,,
176,3.401674270629883,,,,,,
177,3.4024131298065186,,,,,,
178,3.4156534671783447,,,,,,
179,3.4090802669525146,,,,,,
180,3.4042224884033203,,,,,,
181,3.401972532272339,,,,,,
182,3.4050276279449463,,,,,,
183,3.408017635345459,,,,,,
184,3.4031822681427,,,,,,
185,3.3968722820281982,,,,,,
186,3.4033021926879883,,,,,,
696,,0.03355823829770088,3.4046742916107178,16,,,
696,,,,16,3.4064629077911377,,
699,,,,17,,3.407090663909912,0.0234375
187,3.400449275970459,,,,,,
188,3.4032485485076904,,,,,,
189,3.4048399925231934,,,,,,
190,3.4042348861694336,,,,,,
191,3.4052648544311523,,,,,,
192,3.4079957008361816,,,,,,
193,3.4001147747039795,,,,,,
194,3.400353193283081,,,,,,
195,3.4054741859436035,,,,,,
196,3.4011311531066895,,,,,,
197,3.4034011363983154,,,,,,
737,,0.034268464893102646,3.4033186435699463,17,,,
737,,,,17,3.405510425567627,,
749,,,,18,,3.4032716751098633,0.03125
198,3.4053990840911865,,,,,,
199,3.403876304626465,,,,,,
200,3.401592254638672,,,,,,
201,3.4123594760894775,,,,,,
202,3.398131847381592,,,,,,
203,3.409261465072632,,,,,,
204,3.4063613414764404,,,,,,
205,3.403803825378418,,,,,,
206,3.403730630874634,,,,,,
207,3.4032375812530518,,,,,,
208,3.402132749557495,,,,,,
778,,0.03178267180919647,3.4045350551605225,18,,,
778,,,,18,3.404804229736328,,
799,,,,19,,3.407325506210327,0.0234375
209,3.4030275344848633,,,,,,
210,3.4018378257751465,,,,,,
211,3.404963970184326,,,,,,
212,3.4024131298065186,,,,,,
213,3.4006450176239014,,,,,,
214,3.4073493480682373,,,,,,
215,3.4049079418182373,,,,,,
216,3.4053452014923096,,,,,,
217,3.4051353931427,,,,,,
218,3.4104788303375244,,,,,,
219,3.40191388130188,,,,,,
819,,0.034090910106897354,3.404365301132202,19,,,
819,,,,19,3.40531325340271,,
849,,,,20,,3.403132200241089,0.0390625
220,3.406175374984741,,,,,,
221,3.3990848064422607,,,,,,
222,3.4072275161743164,,,,,,
223,3.408348321914673,,,,,,
224,3.407217264175415,,,,,,
225,3.4057064056396484,,,,,,
226,3.4065334796905518,,,,,,
227,3.4047491550445557,,,,,,
228,3.401909351348877,,,,,,
229,3.406378984451294,,,,,,
230,3.41115140914917,,,,,,
860,,0.03302556648850441,3.4058618545532227,20,,,
860,,,,20,3.4049551486968994,,
899,,,,21,,3.411248207092285,0.033203125
231,3.403010129928589,,,,,,
232,3.40260648727417,,,,,,
233,3.4079649448394775,,,,,,
234,3.4032678604125977,,,,,,
235,3.4087536334991455,,,,,,
236,3.4053566455841064,,,,,,
237,3.404560089111328,,,,,,
238,3.4039387702941895,,,,,,
239,3.402672290802002,,,,,,
240,3.4128472805023193,,,,,,
241,3.4011728763580322,,,,,,
901,,0.03302556648850441,3.405104637145996,21,,,
901,,,,21,3.405008554458618,,
242,3.4119608402252197,,,,,,
243,3.4111335277557373,,,,,,
244,3.4094138145446777,,,,,,
245,3.4009082317352295,,,,,,
246,3.402730703353882,,,,,,
247,3.4048948287963867,,,,,,
248,3.401674509048462,,,,,,
249,3.398184299468994,,,,,,
250,3.407014846801758,,,,,,
251,3.4026412963867188,,,,,,
252,3.408346652984619,,,,,,
942,,0.033913351595401764,3.4053544998168945,22,,,
942,,,,22,3.406161308288574,,
949,,,,23,,3.4048819541931152,0.0234375
253,3.4104220867156982,,,,,,
254,3.4007081985473633,,,,,,
255,3.4068236351013184,,,,,,
256,3.4058656692504883,,,,,,
257,3.401641368865967,,,,,,
258,3.4091739654541016,,,,,,
259,3.402141809463501,,,,,,
260,3.4079203605651855,,,,,,
261,3.4087772369384766,,,,,,
262,3.40266752243042,,,,,,
263,3.397167205810547,,,,,,
983,,0.034090910106897354,3.40484619140625,23,,,
983,,,,23,3.405974864959717,,
999,,,,24,,3.408325433731079,0.03125
264,3.4045095443725586,,,,,,
265,3.4011220932006836,,,,,,
266,3.402536392211914,,,,,,
267,3.399571657180786,,,,,,
268,3.4037110805511475,,,,,,
