step,val_cross_entropy_step,epoch,val_acc,val_cross_entropy_epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0,2.999934434890747,,,,,,
1,3.0138604640960693,,,,,,
9,,0,0.205322265625,3.006897449493408,,,
9,,0,,,3.4264965057373047,,
2,2.094221591949463,,,,,,
3,2.0572664737701416,,,,,,
19,,1,0.599365234375,2.075744152069092,,,
19,,1,,,2.650681495666504,,
4,1.2775664329528809,,,,,,
5,1.2267428636550903,,,,,,
29,,2,0.769287109375,1.2521545886993408,,,
29,,2,,,1.7901661396026611,,
6,0.7475619316101074,,,,,,
7,0.7245007157325745,,,,,,
39,,3,0.84375,0.7360312938690186,,,
39,,3,,,1.122131109237671,,
49,,4,,,,0.8349609375,0.6334919929504395
8,0.49454206228256226,,,,,,
9,0.5030056834220886,,,,,,
49,,4,0.872802734375,0.49877387285232544,,,
49,,4,,,0.7247849702835083,,
