val_cross_entropy_step,step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
3.7007484436035156,0,,,,,,
3.746748924255371,1,,,,,,
3.7961316108703613,2,,,,,,
3.7526321411132812,3,,,,,,
3.6903486251831055,4,,,,,,
3.713815212249756,5,,,,,,
3.67767596244812,6,,,,,,
3.729717969894409,7,,,,,,
3.686469316482544,8,,,,,,
3.684018135070801,9,,,,,,
3.7386856079101562,10,,,,,,
,40,0.03515625,3.7197265625,0,,,
,40,,,0,3.8014872074127197,,
,49,,,1,,3.639855146408081,0.029296875
3.540372133255005,11,,,,,,
3.5005812644958496,12,,,,,,
3.5372400283813477,13,,,,,,
3.5623137950897217,14,,,,,,
3.568871021270752,15,,,,,,
3.552370071411133,16,,,,,,
3.4714736938476562,17,,,,,,
3.566887855529785,18,,,,,,
3.5385894775390625,19,,,,,,
3.539384603500366,20,,,,,,
3.5486862659454346,21,,,,,,
,81,0.042080964893102646,3.53879714012146,1,,,
,81,,,1,3.6167118549346924,,
,99,,,2,,3.503941535949707,0.037109375
3.400437355041504,22,,,,,,
3.422309637069702,23,,,,,,
3.4058797359466553,24,,,,,,
3.397803783416748,25,,,,,,
3.4242324829101562,26,,,,,,
3.4350404739379883,27,,,,,,
3.420775890350342,28,,,,,,
3.427116632461548,29,,,,,,
3.3994009494781494,30,,,,,,
3.4079339504241943,31,,,,,,
3.4133265018463135,32,,,,,,
,122,0.05131392180919647,3.4140233993530273,2,,,
,122,,,2,3.469289541244507,,
,149,,,3,,3.3510818481445312,0.06640625
3.298863410949707,33,,,,,,
3.3292689323425293,34,,,,,,
3.3601858615875244,35,,,,,,
3.3337836265563965,36,,,,,,
3.3687260150909424,37,,,,,,
3.2985095977783203,38,,,,,,
3.3415749073028564,39,,,,,,
3.3352324962615967,40,,,,,,
3.3530433177948,41,,,,,,
3.333469867706299,42,,,,,,
3.3323092460632324,43,,,,,,
,163,0.06587357819080353,3.3349969387054443,3,,,
,163,,,3,3.378324270248413,,
,199,,,4,,3.1931629180908203,0.12109375
3.1337907314300537,44,,,,,,
3.1086654663085938,45,,,,,,
3.1717967987060547,46,,,,,,
3.1434414386749268,47,,,,,,
3.144526720046997,48,,,,,,
3.151974678039551,49,,,,,,
3.135824203491211,50,,,,,,
3.1233572959899902,51,,,,,,
3.145826816558838,52,,,,,,
3.1583640575408936,53,,,,,,
3.1497833728790283,54,,,,,,
,204,0.13370028138160706,3.142486333847046,4,,,
,204,,,4,3.2593836784362793,,
2.707197427749634,55,,,,,,
2.659148931503296,56,,,,,,
2.6268045902252197,57,,,,,,
2.6053013801574707,58,,,,,,
2.615596294403076,59,,,,,,
2.6359663009643555,60,,,,,,
2.5885260105133057,61,,,,,,
2.618069648742676,62,,,,,,
2.6011693477630615,63,,,,,,
2.65897274017334,64,,,,,,
2.641335964202881,65,,,,,,
,245,0.2947443127632141,2.6325535774230957,5,,,
,245,,,5,2.9677772521972656,,
,249,,,6,,2.596703052520752,0.3125
1.7349213361740112,66,,,,,,
1.7000046968460083,67,,,,,,
1.740783452987671,68,,,,,,
1.7546898126602173,69,,,,,,
1.7856965065002441,70,,,,,,
1.6845108270645142,71,,,,,,
1.8040060997009277,72,,,,,,
1.7543171644210815,73,,,,,,
1.7094961404800415,74,,,,,,
1.7864112854003906,75,,,,,,
1.7940587997436523,76,,,,,,
,286,0.5427911877632141,1.7498997449874878,6,,,
,286,,,6,2.310493230819702,,
,299,,,7,,1.6630449295043945,0.5625
1.187577724456787,77,,,,,,
1.179871916770935,78,,,,,,
1.0319907665252686,79,,,,,,
1.2240734100341797,80,,,,,,
1.1530723571777344,81,,,,,,
1.0931252241134644,82,,,,,,
1.0743708610534668,83,,,,,,
1.131831169128418,84,,,,,,
1.004658579826355,85,,,,,,
1.1036725044250488,86,,,,,,
1.091341495513916,87,,,,,,
,327,0.7008167505264282,1.1159625053405762,7,,,
,327,,,7,1.5145798921585083,,
,349,,,8,,1.0621180534362793,0.716796875
0.9222865700721741,88,,,,,,
0.9135878086090088,89,,,,,,
0.8049346804618835,90,,,,,,
0.8738338351249695,91,,,,,,
0.8684004545211792,92,,,,,,
0.9634914994239807,93,,,,,,
0.9247303605079651,94,,,,,,
0.854606568813324,95,,,,,,
0.9303066730499268,96,,,,,,
0.8632845282554626,97,,,,,,
0.8061126470565796,98,,,,,,
,368,0.7705965638160706,0.8841431140899658,8,,,
,368,,,8,1.0606036186218262,,
,399,,,9,,0.8138035535812378,0.810546875
0.8196384310722351,99,,,,,,
0.7600499987602234,100,,,,,,
0.8721519112586975,101,,,,,,
0.7683002948760986,102,,,,,,
0.8018260598182678,103,,,,,,
0.7695468068122864,104,,,,,,
0.6814870834350586,105,,,,,,
0.7489331960678101,106,,,,,,
0.8094034194946289,107,,,,,,
0.7847056984901428,108,,,,,,
0.7457823753356934,109,,,,,,
,409,0.7947443127632141,0.7783477902412415,9,,,
,409,,,9,0.8747137784957886,,
,449,,,10,,0.8204832673072815,0.783203125
0.719316840171814,110,,,,,,
0.6740374565124512,111,,,,,,
0.7095946073532104,112,,,,,,
0.7529902458190918,113,,,,,,
0.7161837220191956,114,,,,,,
0.7734773755073547,115,,,,,,
0.7117193937301636,116,,,,,,
0.7376089692115784,117,,,,,,
0.7257123589515686,118,,,,,,
0.806224524974823,119,,,,,,
0.6711319088935852,120,,,,,,
,450,0.8078835010528564,0.7270906567573547,10,,,
,450,,,10,0.7900060415267944,,
0.7141839265823364,121,,,,,,
0.6944900155067444,122,,,,,,
0.7736284732818604,123,,,,,,
0.7211381793022156,124,,,,,,
0.691670835018158,125,,,,,,
0.70302814245224,126,,,,,,
0.6885620951652527,127,,,,,,
0.6660053730010986,128,,,,,,
0.6071309447288513,129,,,,,,
0.7470942139625549,130,,,,,,
0.7605760097503662,131,,,,,,
,491,0.8132102489471436,0.7061371207237244,11,,,
,491,,,11,0.7533982396125793,,
,499,,,12,,0.6529281735420227,0.8515625
0.6809725165367126,132,,,,,,
0.7164341807365417,133,,,,,,
0.7081642150878906,134,,,,,,
0.8003329634666443,135,,,,,,
0.6806856989860535,136,,,,,,
0.5934926867485046,137,,,,,,
0.6228373050689697,138,,,,,,
0.6306275725364685,139,,,,,,
0.6443021297454834,140,,,,,,
0.6923688650131226,141,,,,,,
0.6888032555580139,142,,,,,,
,532,0.8199573755264282,0.678092896938324,12,,,
,532,,,12,0.7151429057121277,,
,549,,,13,,0.7299115061759949,0.798828125
0.713739275932312,143,,,,,,
0.6900811791419983,144,,,,,,
0.7126450538635254,145,,,,,,
0.7290564179420471,146,,,,,,
0.6777893900871277,147,,,,,,
0.742803692817688,148,,,,,,
0.6652252674102783,149,,,,,,
0.6545506119728088,150,,,,,,
0.7218976020812988,151,,,,,,
0.6062686443328857,152,,,,,,
0.6002563834190369,153,,,,,,
,573,0.8206676244735718,0.6831193566322327,13,,,
,573,,,13,0.6825306415557861,,
,599,,,14,,0.6246098279953003,0.837890625
0.5677710771560669,154,,,,,,
0.6030538082122803,155,,,,,,
0.5730896592140198,156,,,,,,
0.6840925812721252,157,,,,,,
0.6423821449279785,158,,,,,,
0.6423031091690063,159,,,,,,
0.7238119840621948,160,,,,,,
0.5798301696777344,161,,,,,,
0.6238154768943787,162,,,,,,
0.5770904421806335,163,,,,,,
0.667104959487915,164,,,,,,
,614,0.8396661877632141,0.6258495450019836,14,,,
,614,,,14,0.6681727170944214,,
,649,,,15,,0.6105386018753052,0.83984375
0.6281934380531311,165,,,,,,
0.6720502376556396,166,,,,,,
0.7131600379943848,167,,,,,,
0.6085788011550903,168,,,,,,
0.5711007118225098,169,,,,,,
0.6436665058135986,170,,,,,,
0.6077874898910522,171,,,,,,
0.6788476705551147,172,,,,,,
0.6434168219566345,173,,,,,,
0.6326286196708679,174,,,,,,
0.6900983452796936,175,,,,,,
,655,0.826171875,0.644502580165863,15,,,
,655,,,15,0.6556074023246765,,
0.6578560471534729,176,,,,,,
0.5672968626022339,177,,,,,,
0.6170738935470581,178,,,,,,
0.667587161064148,179,,,,,,
0.6426089406013489,180,,,,,,
0.6398647427558899,181,,,,,,
0.6412423849105835,182,,,,,,
0.6574135422706604,183,,,,,,
0.6406034827232361,184,,,,,,
0.6614196300506592,185,,,,,,
0.61226487159729,186,,,,,,
,696,0.8332741260528564,0.6368391513824463,16,,,
,696,,,16,0.6612469553947449,,
,699,,,17,,0.5842247605323792,0.869140625
0.66731858253479,187,,,,,,
0.6550434231758118,188,,,,,,
0.6033735275268555,189,,,,,,
0.6766477823257446,190,,,,,,
0.5813071727752686,191,,,,,,
0.688798725605011,192,,,,,,
0.6886203289031982,193,,,,,,
0.6094147562980652,194,,,,,,
0.6608773469924927,195,,,,,,
0.6710774898529053,196,,,,,,
0.6689373850822449,197,,,,,,
,737,0.822265625,0.6519469022750854,17,,,
,737,,,17,0.636030912399292,,
,749,,,18,,0.5825022459030151,0.83984375
0.6723836064338684,198,,,,,,
0.6899319887161255,199,,,,,,
0.6139684319496155,200,,,,,,
0.6850147247314453,201,,,,,,
0.6664851903915405,202,,,,,,
0.6487429738044739,203,,,,,,
0.6188541054725647,204,,,,,,
0.6079311966896057,205,,,,,,
0.6047384142875671,206,,,,,,
0.5960817337036133,207,,,,,,
0.6002844572067261,208,,,,,,
,778,0.8330965638160706,0.63676518201828,18,,,
,778,,,18,0.6397849917411804,,
,799,,,19,,0.6066466569900513,0.833984375
0.6144134402275085,209,,,,,,
0.5491421222686768,210,,,,,,
0.7005086541175842,211,,,,,,
0.6272749304771423,212,,,,,,
0.6034632325172424,213,,,,,,
0.6307059526443481,214,,,,,,
0.6518577933311462,215,,,,,,
0.6449731588363647,216,,,,,,
0.7159854173660278,217,,,,,,
0.5771978497505188,218,,,,,,
0.6364641189575195,219,,,,,,
,819,0.8341619372367859,0.6319987773895264,19,,,
,819,,,19,0.6528276801109314,,
,849,,,20,,0.7125012278556824,0.8125
0.670311689376831,220,,,,,,
0.6852532029151917,221,,,,,,
0.6630185842514038,222,,,,,,
0.7294946908950806,223,,,,,,
0.6622348427772522,224,,,,,,
0.7062239050865173,225,,,,,,
0.6091659665107727,226,,,,,,
0.7240564823150635,227,,,,,,
0.6470851898193359,228,,,,,,
0.6199252009391785,229,,,,,,
0.6298646330833435,230,,,,,,
,860,0.8254616260528564,0.6678758263587952,20,,,
,860,,,20,0.6624096632003784,,
,899,,,21,,0.6970759630203247,0.8125
0.6540271043777466,231,,,,,,
0.7150139212608337,232,,,,,,
0.6996503472328186,233,,,,,,
0.6276114583015442,234,,,,,,
0.6508276462554932,235,,,,,,
0.6166352033615112,236,,,,,,
0.7581166625022888,237,,,,,,
0.6229707598686218,238,,,,,,
0.6846613883972168,239,,,,,,
0.5950407385826111,240,,,,,,
0.6519607901573181,241,,,,,,
,901,0.8240411877632141,0.6615014672279358,21,,,
,901,,,21,0.6572953462600708,,
0.7159403562545776,242,,,,,,
0.6070026159286499,243,,,,,,
0.6497692465782166,244,,,,,,
0.6751125454902649,245,,,,,,
0.5367603302001953,246,,,,,,
0.6134845018386841,247,,,,,,
0.6362801790237427,248,,,,,,
0.5898987650871277,249,,,,,,
0.6754773855209351,250,,,,,,
0.664742112159729,251,,,,,,
0.5460869669914246,252,,,,,,
,942,0.8361150622367859,0.6282322406768799,22,,,
,942,,,22,0.6554616689682007,,
,949,,,23,,0.6087549328804016,0.837890625
0.6402364373207092,253,,,,,,
0.6916199326515198,254,,,,,,
0.6876190304756165,255,,,,,,
0.7002100944519043,256,,,,,,
0.7524977326393127,257,,,,,,
0.6522404551506042,258,,,,,,
0.6230517625808716,259,,,,,,
0.6169713735580444,260,,,,,,
0.6324560046195984,261,,,,,,
0.6918197274208069,262,,,,,,
0.6471428871154785,263,,,,,,
,983,0.8142755627632141,0.6668968200683594,23,,,
,983,,,23,0.6620013117790222,,
,999,,,24,,0.7074350714683533,0.826171875
0.6842628717422485,264,,,,,,
0.6514406204223633,265,,,,,,
0.5753458738327026,266,,,,,,
0.6468797922134399,267,,,,,,
0.6346920728683472,268,,,,,,
0.6014847159385681,269,,,,,,
0.6657974123954773,270,,,,,,
0.6451719403266907,271,,,,,,
0.6239235401153564,272,,,,,,
0.6362705826759338,273,,,,,,
0.5465438961982727,274,,,,,,
,1024,0.8401988744735718,0.6283466815948486,24,,,
,1024,,,24,0.6642143130302429,,
,1049,,,25,,0.6981181502342224,0.810546875
