val_cross_entropy_step,step,val_acc,epoch,val_cross_entropy_epoch,cross_entropy_epoch,cross_entropy_step,train_acc
2.48215651512146,0,,,,,,
2.4887499809265137,1,,,,,,
2.538304328918457,2,,,,,,
2.515871524810791,3,,,,,,
2.4657390117645264,4,,,,,,
2.468294620513916,5,,,,,,
2.5200369358062744,6,,,,,,
2.5445988178253174,7,,,,,,
2.497941493988037,8,,,,,,
2.470076560974121,9,,,,,,
2.428213596343994,10,,,,,,
,40,0.6079545617103577,0,2.4927258491516113,,,
,40,,0,,3.023395538330078,,
,49,,1,,,2.571423292160034,0.546875
2.186488151550293,11,,,,,,
2.1590077877044678,12,,,,,,
2.1443681716918945,13,,,,,,
2.111595630645752,14,,,,,,
2.181690216064453,15,,,,,,
2.186093330383301,16,,,,,,
2.1413373947143555,17,,,,,,
2.1500563621520996,18,,,,,,
2.139735698699951,19,,,,,,
2.1780309677124023,20,,,,,,
2.150669574737549,21,,,,,,
,81,0.7741477489471436,1,2.1571884155273438,,,
,81,,1,,2.4488589763641357,,
,99,,2,,,2.006704092025757,0.654296875
1.6144907474517822,22,,,,,,
1.6534518003463745,23,,,,,,
1.6413819789886475,24,,,,,,
1.6514010429382324,25,,,,,,
1.5779011249542236,26,,,,,,
1.543501377105713,27,,,,,,
1.624613881111145,28,,,,,,
1.6470866203308105,29,,,,,,
1.6201610565185547,30,,,,,,
1.6543138027191162,31,,,,,,
1.6560773849487305,32,,,,,,
,122,0.8254616260528564,2,1.6258527040481567,,,
,122,,2,,1.9738925695419312,,
,149,,3,,,1.5510209798812866,0.6640625
1.1662018299102783,33,,,,,,
1.1115831136703491,34,,,,,,
1.1055725812911987,35,,,,,,
1.1027909517288208,36,,,,,,
1.1191551685333252,37,,,,,,
1.1571108102798462,38,,,,,,
1.1151611804962158,39,,,,,,
1.0825881958007812,40,,,,,,
1.1352479457855225,41,,,,,,
1.119898796081543,42,,,,,,
1.1090413331985474,43,,,,,,
,163,0.8551136255264282,3,1.1203956604003906,,,
