val_cross_entropy_step,step,val_acc,epoch,val_cross_entropy_epoch,cross_entropy_epoch,cross_entropy_step,train_acc
,163,,3,,1.5554134845733643,,
,199,,4,,,1.2723815441131592,0.669921875
0.8910712003707886,44,,,,,,
0.8201189041137695,45,,,,,,
0.8747007250785828,46,,,,,,
0.8803825974464417,47,,,,,,
0.8745166063308716,48,,,,,,
0.8931150436401367,49,,,,,,
0.8379725813865662,50,,,,,,
0.8752047419548035,51,,,,,,
0.8823200464248657,52,,,,,,
0.8638976216316223,53,,,,,,
0.8854016661643982,54,,,,,,
,204,0.8755326867103577,4,0.8707910180091858,,,
,204,,4,,1.2917321920394897,,
0.7141525149345398,55,,,,,,
0.752718985080719,56,,,,,,
0.7145934104919434,57,,,,,,
0.8000781536102295,58,,,,,,
0.7121436595916748,59,,,,,,
0.7496238946914673,60,,,,,,
0.7521842122077942,61,,,,,,
0.7509037256240845,62,,,,,,
0.7326440811157227,63,,,,,,
0.7359746098518372,64,,,,,,
0.6885299682617188,65,,,,,,
,245,0.8851207494735718,5,0.7366861701011658,,,
,245,,5,,1.1395140886306763,,
,249,,6,,,1.0720514059066772,0.7578125
0.693160355091095,66,,,,,,
0.6067317128181458,67,,,,,,
0.6148253679275513,68,,,,,,
0.6155866980552673,69,,,,,,
0.6257912516593933,70,,,,,,
0.6411420106887817,71,,,,,,
0.6553453207015991,72,,,,,,
0.6681762933731079,73,,,,,,
0.7037092447280884,74,,,,,,
0.6679593920707703,75,,,,,,
0.6234051585197449,76,,,,,,
,286,0.8854758739471436,6,0.6468938589096069,,,
,286,,6,,1.0720781087875366,,
,299,,7,,,1.0259027481079102,0.71484375
0.6064987778663635,77,,,,,,
0.5376705527305603,78,,,,,,
0.6125529408454895,79,,,,,,
0.5890511870384216,80,,,,,,
0.5954540371894836,81,,,,,,
0.5163294076919556,82,,,,,,
0.5731399059295654,83,,,,,,
0.596317708492279,84,,,,,,
0.6026861667633057,85,,,,,,
0.5180241465568542,86,,,,,,
0.591921865940094,87,,,,,,
,327,0.8893821239471436,7,0.5763315558433533,,,
,327,,7,,1.016324520111084,,
,349,,8,,,0.9641177654266357,0.72265625
0.5671142339706421,88,,,,,,
0.5072934031486511,89,,,,,,
0.5257022380828857,90,,,,,,
0.5666269063949585,91,,,,,,
0.5607855319976807,92,,,,,,
0.5493513941764832,93,,,,,,
0.5387086272239685,94,,,,,,
0.538074254989624,95,,,,,,
0.5689696073532104,96,,,,,,
0.5735641121864319,97,,,,,,
0.5273348093032837,98,,,,,,
,368,0.8918678760528564,8,0.5475931763648987,,,
,368,,8,,0.9867328405380249,,
,399,,9,,,1.019200086593628,0.724609375
0.6119027137756348,99,,,,,,
0.6080135703086853,100,,,,,,
0.5328826308250427,101,,,,,,
0.5706549882888794,102,,,,,,
0.5536342263221741,103,,,,,,
0.563648521900177,104,,,,,,
0.5215622782707214,105,,,,,,
0.585991621017456,106,,,,,,
0.5122162699699402,107,,,,,,
0.563766360282898,108,,,,,,
0.5198724269866943,109,,,,,,
,409,0.8865411877632141,9,0.5585586428642273,,,
,409,,9,,0.9758498072624207,,
,449,,10,,,1.040433645248413,0.703125
0.5389323234558105,110,,,,,,
0.5707274675369263,111,,,,,,
0.5185458064079285,112,,,,,,
0.5107194185256958,113,,,,,,
0.5511099100112915,114,,,,,,
0.47725939750671387,115,,,,,,
0.5701790452003479,116,,,,,,
0.5358744859695435,117,,,,,,
0.5743643641471863,118,,,,,,
0.5432738065719604,119,,,,,,
0.5100917220115662,120,,,,,,
,450,0.8780184388160706,10,0.536461591720581,,,
,450,,10,,0.9715700745582581,,
0.505353569984436,121,,,,,,
0.5154513716697693,122,,,,,,
0.5131209492683411,123,,,,,,
0.5292970538139343,124,,,,,,
0.5707820653915405,125,,,,,,
0.524057149887085,126,,,,,,
0.5040293335914612,127,,,,,,
0.5197755098342896,128,,,,,,
0.5458487272262573,129,,,,,,
0.5720412731170654,130,,,,,,
0.49552223086357117,131,,,,,,
,491,0.8831676244735718,11,0.5268435478210449,,,
,491,,11,,0.9731757640838623,,
,499,,12,,,1.0015920400619507,0.712890625
0.5718971490859985,132,,,,,,
0.5072259306907654,133,,,,,,
0.5754811763763428,134,,,,,,
0.5520799160003662,135,,,,,,
0.546241283416748,136,,,,,,
0.5218021273612976,137,,,,,,
0.4895997643470764,138,,,,,,
0.5462512969970703,139,,,,,,
0.5884478688240051,140,,,,,,
0.5070248246192932,141,,,,,,
0.49356555938720703,142,,,,,,
,532,0.8771306872367859,12,0.5363287925720215,,,
,532,,12,,0.9579786658287048,,
,549,,13,,,0.9377893209457397,0.7421875
0.5611575245857239,143,,,,,,
0.5081039667129517,144,,,,,,
0.5671418905258179,145,,,,,,
0.5199810266494751,146,,,,,,
0.5492718815803528,147,,,,,,
0.5182435512542725,148,,,,,,
0.4818345904350281,149,,,,,,
0.4474935829639435,150,,,,,,
0.5644495487213135,151,,,,,,
0.4959748089313507,152,,,,,,
0.5139878392219543,153,,,,,,
,573,0.8884943127632141,13,0.5206946730613708,,,
,573,,13,,0.9591211676597595,,
,599,,14,,,0.9373823404312134,0.75
0.46534183621406555,154,,,,,,
0.5299831628799438,155,,,,,,
0.4995586574077606,156,,,,,,
0.4778747856616974,157,,,,,,
0.5058773159980774,158,,,,,,
0.502388596534729,159,,,,,,
0.49781110882759094,160,,,,,,
0.4921187162399292,161,,,,,,
0.5477612614631653,162,,,,,,
0.511411726474762,163,,,,,,
0.577911913394928,164,,,,,,
,614,0.8856534361839294,14,0.5098217129707336,,,
,614,,14,,0.9416636228561401,,
,649,,15,,,0.9859682321548462,0.744140625
0.546402096748352,165,,,,,,
0.5474268198013306,166,,,,,,
0.5394570231437683,167,,,,,,
0.4702051281929016,168,,,,,,
0.48368752002716064,169,,,,,,
0.5370580554008484,170,,,,,,
0.5621756315231323,171,,,,,,
0.50466388463974,172,,,,,,
0.5346591472625732,173,,,,,,
0.5753753185272217,174,,,,,,
0.5491601228713989,175,,,,,,
,655,0.87890625,15,0.531842827796936,,,
,655,,15,,0.94777911901474,,
0.5336722135543823,176,,,,,,
0.556230366230011,177,,,,,,
0.5406274199485779,178,,,,,,
0.512354850769043,179,,,,,,
0.5049417614936829,180,,,,,,
0.5228678584098816,181,,,,,,
0.5572591423988342,182,,,,,,
0.5072727799415588,183,,,,,,
0.4900847375392914,184,,,,,,
0.554067850112915,185,,,,,,
0.5228103399276733,186,,,,,,
,696,0.8781960010528564,16,0.5274717807769775,,,
,696,,16,,0.9372596740722656,,
,699,,17,,,0.8862652778625488,0.759765625
0.48864835500717163,187,,,,,,
0.48952701687812805,188,,,,,,
0.5166060924530029,189,,,,,,
0.4875926077365875,190,,,,,,
0.49463748931884766,191,,,,,,
0.5312981605529785,192,,,,,,
0.4908970296382904,193,,,,,,
0.44973665475845337,194,,,,,,
0.5140040516853333,195,,,,,,
0.5163782238960266,196,,,,,,
0.5258035063743591,197,,,,,,
,737,0.8922230005264282,17,0.5004662871360779,,,
,737,,17,,0.9440658092498779,,
,749,,18,,,0.8647257685661316,0.78125
0.5532422065734863,198,,,,,,
0.5624142289161682,199,,,,,,
0.6231682896614075,200,,,,,,
0.5546146035194397,201,,,,,,
0.5524530410766602,202,,,,,,
0.4974003732204437,203,,,,,,
0.5579109191894531,204,,,,,,
0.560778796672821,205,,,,,,
0.5620611310005188,206,,,,,,
0.5290228128433228,207,,,,,,
0.5565844774246216,208,,,,,,
,778,0.8790838122367859,18,0.5554227828979492,,,
,778,,18,,0.9500153660774231,,
,799,,19,,,0.9455385804176331,0.736328125
0.509438157081604,209,,,,,,
0.5597314834594727,210,,,,,,
0.5692996382713318,211,,,,,,
0.5091437697410583,212,,,,,,
0.5192477107048035,213,,,,,,
0.5090190172195435,214,,,,,,
0.5421237945556641,215,,,,,,
0.512363851070404,216,,,,,,
0.5155466198921204,217,,,,,,
0.5014253258705139,218,,,,,,
0.5304305553436279,219,,,,,,
,819,0.8776633739471436,19,0.5252518057823181,,,
,819,,19,,0.9491945505142212,,
,849,,20,,,0.8900802731513977,0.748046875
0.530178964138031,220,,,,,,
0.4964985251426697,221,,,,,,
0.48612603545188904,222,,,,,,
0.5153391361236572,223,,,,,,
0.5583566427230835,224,,,,,,
0.5089017152786255,225,,,,,,
0.5189743041992188,226,,,,,,
0.4723640978336334,227,,,,,,
0.5038920640945435,228,,,,,,
0.5404645204544067,229,,,,,,
0.5231591463088989,230,,,,,,
,860,0.8806818127632141,20,0.5140231251716614,,,
,860,,20,,0.9454171061515808,,
,899,,21,,,1.0251402854919434,0.703125
0.5475402474403381,231,,,,,,
0.5477389097213745,232,,,,,,
0.539465069770813,233,,,,,,
0.5850917100906372,234,,,,,,
0.5059077143669128,235,,,,,,
0.5752535462379456,236,,,,,,
0.5571252703666687,237,,,,,,
0.5364255905151367,238,,,,,,
0.5160261988639832,239,,,,,,
0.50041264295578,240,,,,,,
0.554267406463623,241,,,,,,
,901,0.8787286877632141,21,0.5422958731651306,,,
,901,,21,,0.9484208226203918,,
0.49648648500442505,242,,,,,,
0.4896760880947113,243,,,,,,
0.5211454629898071,244,,,,,,
0.539088249206543,245,,,,,,
0.463356077671051,246,,,,,,
0.4897891879081726,247,,,,,,
0.511086642742157,248,,,,,,
0.5836966633796692,249,,,,,,
0.4870509207248688,250,,,,,,
0.5278328657150269,251,,,,,,
0.49967390298843384,252,,,,,,
,942,0.8819246888160706,22,0.5098984241485596,,,
,942,,22,,0.9454214572906494,,
,949,,23,,,0.9837611317634583,0.728515625
0.5097048878669739,253,,,,,,
0.4486594498157501,254,,,,,,
0.5567108988761902,255,,,,,,
0.5031667947769165,256,,,,,,
0.5118396878242493,257,,,,,,
0.49233195185661316,258,,,,,,
0.4853263199329376,259,,,,,,
0.5340597629547119,260,,,,,,
0.5277973413467407,261,,,,,,
0.5140567421913147,262,,,,,,
0.5067818760871887,263,,,,,,
,983,0.8884943127632141,23,0.5082213878631592,,,
,983,,23,,0.9521474838256836,,
,999,,24,,,1.0188946723937988,0.70703125
0.5178060531616211,264,,,,,,
0.5643277764320374,265,,,,,,
0.4947270154953003,266,,,,,,
0.450012743473053,267,,,,,,
0.5104170441627502,268,,,,,,
0.5238786935806274,269,,,,,,
0.48281368613243103,270,,,,,,
0.517961859703064,271,,,,,,
0.5616906881332397,272,,,,,,
0.5511026978492737,273,,,,,,
0.5267002582550049,274,,,,,,
,1024,0.8806818127632141,24,0.5183125138282776,,,
,1024,,24,,0.9429649710655212,,
,1049,,25,,,0.9229890704154968,0.744140625
0.5249277353286743,275,,,,,,
0.5401238799095154,276,,,,,,
0.5220204591751099,277,,,,,,
0.5137117505073547,278,,,,,,
0.5301721096038818,279,,,,,,
0.48898592591285706,280,,,,,,
0.5360738039016724,281,,,,,,
0.5588350892066956,282,,,,,,
0.582179605960846,283,,,,,,
0.5408317446708679,284,,,,,,
0.4832231402397156,285,,,,,,
,1065,0.8657670617103577,25,0.5291895270347595,,,
,1065,,25,,0.9434603452682495,,
,1099,,26,,,1.0020809173583984,0.703125
0.48220160603523254,286,,,,,,
0.5465741157531738,287,,,,,,
0.5120060443878174,288,,,,,,
0.5319356322288513,289,,,,,,
0.4720427989959717,290,,,,,,
0.5233867168426514,291,,,,,,
0.521532416343689,292,,,,,,
0.5285634994506836,293,,,,,,
0.49334201216697693,294,,,,,,
0.524416983127594,295,,,,,,
0.5520910620689392,296,,,,,,
,1106,0.8812144994735718,26,0.5170993208885193,,,
,1106,,26,,0.9496592283248901,,
0.46618905663490295,297,,,,,,
0.45209118723869324,298,,,,,,
0.5443497896194458,299,,,,,,
0.4568988084793091,300,,,,,,
0.5172998905181885,301,,,,,,
0.5096561312675476,302,,,,,,
0.4911462366580963,303,,,,,,
0.47948965430259705,304,,,,,,
0.5309391617774963,305,,,,,,
0.47887393832206726,306,,,,,,
0.532132089138031,307,,,,,,
,1147,0.8819246888160706,27,0.4962787330150604,,,
,1147,,27,,0.9525008797645569,,
,1149,,28,,,0.9324265718460083,0.734375
0.5122209191322327,308,,,,,,
0.5588505864143372,309,,,,,,
0.5670546889305115,310,,,,,,
0.5052045583724976,311,,,,,,
0.5156484246253967,312,,,,,,
0.5150068402290344,313,,,,,,
0.5429239869117737,314,,,,,,
0.49020954966545105,315,,,,,,
0.5375274419784546,316,,,,,,
0.5107342600822449,317,,,,,,
0.4915306270122528,318,,,,,,
,1188,0.873046875,28,0.5224464535713196,,,
,1188,,28,,0.9482766389846802,,
,1199,,29,,,0.9713891744613647,0.72265625
0.48978492617607117,319,,,,,,
0.4822328984737396,320,,,,,,
0.4921475350856781,321,,,,,,
0.5090393424034119,322,,,,,,
0.45212557911872864,323,,,,,,
0.5445892810821533,324,,,,,,
0.5198351144790649,325,,,,,,
0.4555797278881073,326,,,,,,
0.543830931186676,327,,,,,,
0.4874621033668518,328,,,,,,
0.47293704748153687,329,,,,,,
,1229,0.8870738744735718,29,0.49541494250297546,,,
,1229,,29,,0.9509756565093994,,
,1249,,30,,,0.932097315788269,0.7421875
0.5204899311065674,330,,,,,,
0.5006144046783447,331,,,,,,
0.5123489499092102,332,,,,,,
0.44432535767555237,333,,,,,,
0.5519044399261475,334,,,,,,
0.4738546907901764,335,,,,,,
0.5237036943435669,336,,,,,,
0.4716137647628784,337,,,,,,
0.4902801811695099,338,,,,,,
0.5140427350997925,339,,,,,,
0.4467912018299103,340,,,,,,
,1270,0.8877840638160706,30,0.49545180797576904,,,
,1270,,30,,0.951059877872467,,
,1299,,31,,,0.9263542294502258,0.74609375
0.5078434348106384,341,,,,,,
0.5313581824302673,342,,,,,,
0.5246129631996155,343,,,,,,
0.5408652424812317,344,,,,,,
0.47309261560440063,345,,,,,,
0.5072380304336548,346,,,,,,
0.5781602263450623,347,,,,,,
0.5192883610725403,348,,,,,,
0.5082882642745972,349,,,,,,
0.4680648744106293,350,,,,,,
0.5430094599723816,351,,,,,,
,1311,0.8771306872367859,31,0.518347442150116,,,
,1311,,31,,0.943199634552002,,
,1349,,32,,,0.9411765336990356,0.748046875
0.4889204800128937,352,,,,,,
0.5630395412445068,353,,,,,,
0.5255845189094543,354,,,,,,
0.5669631958007812,355,,,,,,
0.5581220388412476,356,,,,,,
0.5616763830184937,357,,,,,,
0.5117822289466858,358,,,,,,
0.5030508637428284,359,,,,,,
0.5677018165588379,360,,,,,,
0.507539689540863,361,,,,,,
0.5190885066986084,362,,,,,,
,1352,0.8744673132896423,32,0.5339517593383789,,,
,1352,,32,,0.9470412135124207,,
0.4901336133480072,363,,,,,,
0.4916737973690033,364,,,,,,
0.5442986488342285,365,,,,,,
0.5359435677528381,366,,,,,,
0.5260944366455078,367,,,,,,
0.5404264330863953,368,,,,,,
0.5470584630966187,369,,,,,,
0.4747733473777771,370,,,,,,
0.5715677738189697,371,,,,,,
0.5735260844230652,372,,,,,,
0.5748384594917297,373,,,,,,
,1393,0.8751775622367859,33,0.5336668491363525,,,
,1393,,33,,0.9505635499954224,,
,1399,,34,,,0.9425839185714722,0.708984375
0.4952506422996521,374,,,,,,
0.5129798054695129,375,,,,,,
0.5430094003677368,376,,,,,,
0.48814812302589417,377,,,,,,
0.5255504250526428,378,,,,,,
0.5010889768600464,379,,,,,,
0.45307713747024536,380,,,,,,
0.46046724915504456,381,,,,,,
0.534853994846344,382,,,,,,
0.49236568808555603,383,,,,,,
0.547420859336853,384,,,,,,
,1434,0.8813920617103577,34,0.5049284100532532,,,
,1434,,34,,0.9476112723350525,,
,1449,,35,,,0.9369387626647949,0.724609375
0.515869677066803,385,,,,,,
0.520811140537262,386,,,,,,
0.47205260396003723,387,,,,,,
0.5037270188331604,388,,,,,,
0.5583117604255676,389,,,,,,
0.489799827337265,390,,,,,,
0.4977641999721527,391,,,,,,
0.523600697517395,392,,,,,,
0.5167673826217651,393,,,,,,
0.4590170383453369,394,,,,,,
0.4804626405239105,395,,,,,,
,1475,0.8852983117103577,35,0.5034712553024292,,,
,1475,,35,,0.9456917643547058,,
,1499,,36,,,0.9173933863639832,0.73046875
0.4541871249675751,396,,,,,,
0.53962242603302,397,,,,,,
0.4874684512615204,398,,,,,,
0.5035400986671448,399,,,,,,
0.5238280892372131,400,,,,,,
0.515005350112915,401,,,,,,
0.4995642602443695,402,,,,,,
0.5656195878982544,403,,,,,,
0.5370008945465088,404,,,,,,
0.5308998227119446,405,,,,,,
0.5468543171882629,406,,,,,,
,1516,0.8700284361839294,36,0.51850825548172,,,
,1516,,36,,0.9427133202552795,,
,1549,,37,,,0.9256168603897095,0.74609375
0.527586817741394,407,,,,,,
0.511664867401123,408,,,,,,
0.4399939179420471,409,,,,,,
0.48939448595046997,410,,,,,,
0.5156978964805603,411,,,,,,
0.48583653569221497,412,,,,,,
0.5369049906730652,413,,,,,,
0.517227292060852,414,,,,,,
0.5090377330780029,415,,,,,,
0.49015289545059204,416,,,,,,
0.537115752696991,417,,,,,,
,1557,0.8735795617103577,37,0.5055102705955505,,,
,1557,,37,,0.9504938125610352,,
0.5443249940872192,418,,,,,,
0.519037127494812,419,,,,,,
0.5293558835983276,420,,,,,,
0.5136504173278809,421,,,,,,
0.5611767172813416,422,,,,,,
0.5399638414382935,423,,,,,,
0.526278555393219,424,,,,,,
0.5930741429328918,425,,,,,,
0.5103208422660828,426,,,,,,
0.585985541343689,427,,,,,,
0.5376875996589661,428,,,,,,
,1598,0.880859375,38,0.5418959856033325,,,
,1598,,38,,0.9585093259811401,,
,1599,,39,,,0.9108667969703674,0.74609375
0.5191437602043152,429,,,,,,
0.4957646429538727,430,,,,,,
0.5207961797714233,431,,,,,,
0.5361923575401306,432,,,,,,
0.5370066165924072,433,,,,,,
0.5145422220230103,434,,,,,,
0.5107507109642029,435,,,,,,
0.5106456279754639,436,,,,,,
0.549761176109314,437,,,,,,
0.4865909516811371,438,,,,,,
0.5191256999969482,439,,,,,,
,1639,0.8726917505264282,39,0.5182109475135803,,,
,1639,,39,,0.9449255466461182,,
,1649,,40,,,0.9203641414642334,0.744140625
0.5100756287574768,440,,,,,,
0.5004093647003174,441,,,,,,
0.55885249376297,442,,,,,,
0.49447759985923767,443,,,,,,
0.5526921153068542,444,,,,,,
0.5277804136276245,445,,,,,,
0.51849365234375,446,,,,,,
0.5152610540390015,447,,,,,,
0.5605691075325012,448,,,,,,
0.5101552605628967,449,,,,,,
0.5236121416091919,450,,,,,,
,1680,0.8765980005264282,40,0.5247617363929749,,,
,1680,,40,,0.9501256346702576,,
,1699,,41,,,0.9273796677589417,0.728515625
0.4865390956401825,451,,,,,,
0.5886473059654236,452,,,,,,
0.5250290036201477,453,,,,,,
0.552821695804596,454,,,,,,
0.4881627857685089,455,,,,,,
0.52630215883255,456,,,,,,
0.4621811807155609,457,,,,,,
0.503080427646637,458,,,,,,
0.5306710600852966,459,,,,,,
0.47946110367774963,460,,,,,,
0.5479286909103394,461,,,,,,
,1721,0.8751775622367859,41,0.5173476934432983,,,
,1721,,41,,0.9537060260772705,,
,1749,,42,,,0.9581999182701111,0.720703125
0.43715736269950867,462,,,,,,
0.4904172122478485,463,,,,,,
0.4986184537410736,464,,,,,,
0.5072980523109436,465,,,,,,
0.4969201683998108,466,,,,,,
0.4801381826400757,467,,,,,,
0.46745821833610535,468,,,,,,
0.5087240934371948,469,,,,,,
0.48836666345596313,470,,,,,,
0.4852728545665741,471,,,,,,
0.472057044506073,472,,,,,,
,1762,0.8829900622367859,42,0.4847661852836609,,,
,1762,,42,,0.9484888315200806,,
,1799,,43,,,0.9281141757965088,0.755859375
0.5207215547561646,473,,,,,,
0.5578309297561646,474,,,,,,
0.5325453281402588,475,,,,,,
0.5251114368438721,476,,,,,,
0.5443618893623352,477,,,,,,
0.5555682182312012,478,,,,,,
0.5885840058326721,479,,,,,,
0.5469904541969299,480,,,,,,
0.5394580364227295,481,,,,,,
0.5417931079864502,482,,,,,,
0.5670610070228577,483,,,,,,
,1803,0.8764204382896423,43,0.5472750663757324,,,
,1803,,43,,0.9460268020629883,,
0.563841700553894,484,,,,,,
0.516639769077301,485,,,,,,
0.5435987114906311,486,,,,,,
0.5393329858779907,487,,,,,,
0.5065845847129822,488,,,,,,
0.5149958729743958,489,,,,,,
0.5013778805732727,490,,,,,,
0.5405231714248657,491,,,,,,
0.5761873126029968,492,,,,,,
0.5494788885116577,493,,,,,,
0.6050268411636353,494,,,,,,
,1844,0.876953125,44,0.5415988564491272,,,
,1844,,44,,0.9517892003059387,,
,1849,,45,,,0.9120786190032959,0.744140625
0.5686644911766052,495,,,,,,
0.5010097622871399,496,,,,,,
0.5091046690940857,497,,,,,,
0.507961094379425,498,,,,,,
0.5781578421592712,499,,,,,,
0.5526342391967773,500,,,,,,
0.5750773549079895,501,,,,,,
0.5486933588981628,502,,,,,,
0.5196593403816223,503,,,,,,
0.5656148195266724,504,,,,,,
0.5094279646873474,505,,,,,,
,1885,0.8812144994735718,45,0.5396368503570557,,,
,1885,,45,,0.9501803517341614,,
,1899,,46,,,1.0282834768295288,0.69140625
0.5049869418144226,506,,,,,,
0.5572779178619385,507,,,,,,
0.4841499626636505,508,,,,,,
0.47951334714889526,509,,,,,,
0.4607784152030945,510,,,,,,
0.48006880283355713,511,,,,,,
0.5862194895744324,512,,,,,,
0.5459589958190918,513,,,,,,
0.47242972254753113,514,,,,,,
0.46674782037734985,515,,,,,,
0.4964769184589386,516,,,,,,
,1926,0.8773082494735718,46,0.503146231174469,,,
,1926,,46,,0.9604090452194214,,
,1949,,47,,,0.9580945372581482,0.712890625
0.5122619271278381,517,,,,,,
0.4918113648891449,518,,,,,,
0.5451510548591614,519,,,,,,
0.5168122053146362,520,,,,,,
0.5707479119300842,521,,,,,,
0.5730366110801697,522,,,,,,
0.5390437245368958,523,,,,,,
0.5200280547142029,524,,,,,,
0.4930321276187897,525,,,,,,
0.5354504585266113,526,,,,,,
0.4472368359565735,527,,,,,,
,1967,0.8799715638160706,47,0.5222374796867371,,,
,1967,,47,,0.9540196657180786,,
,1999,,48,,,0.9254164099693298,0.7421875
0.5056048631668091,528,,,,,,
0.5311828851699829,529,,,,,,
0.5622817873954773,530,,,,,,
0.5249981880187988,531,,,,,,
0.5387991070747375,532,,,,,,
0.556811511516571,533,,,,,,
0.554246723651886,534,,,,,,
0.5441393852233887,535,,,,,,
0.5309359431266785,536,,,,,,
0.4935583174228668,537,,,,,,
0.5836676359176636,538,,,,,,
,2008,0.8757102489471436,48,0.5387478470802307,,,
,2008,,48,,0.9479303956031799,,
,2049,,49,,,0.978972315788269,0.73046875
0.5086706280708313,539,,,,,,
0.524748682975769,540,,,,,,
0.518599271774292,541,,,,,,
0.5310038924217224,542,,,,,,
0.515005350112915,543,,,,,,
0.501125693321228,544,,,,,,
0.5105633735656738,545,,,,,,
0.5134106278419495,546,,,,,,
0.5051723718643188,547,,,,,,
0.5101258158683777,548,,,,,,
0.47321972250938416,549,,,,,,
,2049,0.8821022510528564,49,0.5101495385169983,,,
,2049,,49,,0.9524173140525818,,
0.45990926027297974,550,,,,,,
0.5464686751365662,551,,,,,,
0.5634520649909973,552,,,,,,
0.5106939673423767,553,,,,,,
0.4958990216255188,554,,,,,,
0.5579774975776672,555,,,,,,
0.5152196288108826,556,,,,,,
0.5232200026512146,557,,,,,,
0.5687397718429565,558,,,,,,
0.5652921199798584,559,,,,,,
0.5100700259208679,560,,,,,,
,2090,0.8813920617103577,50,0.5288129448890686,,,
,2090,,50,,0.9582549333572388,,
,2099,,51,,,0.9391268491744995,0.71875
0.5363754034042358,561,,,,,,
0.5199699997901917,562,,,,,,
0.526868999004364,563,,,,,,
0.49918684363365173,564,,,,,,
0.560651957988739,565,,,,,,
0.538446843624115,566,,,,,,
0.5426758527755737,567,,,,,,
0.5528607368469238,568,,,,,,
0.5252930521965027,569,,,,,,
0.5201289653778076,570,,,,,,
0.5139692425727844,571,,,,,,
,2131,0.8755326867103577,51,0.5305843353271484,,,
,2131,,51,,0.9530786871910095,,
,2149,,52,,,0.9532403945922852,0.748046875
0.46698862314224243,572,,,,,,
0.5407537221908569,573,,,,,,
0.5421624779701233,574,,,,,,
0.462876558303833,575,,,,,,
0.4759713411331177,576,,,,,,
0.5442089438438416,577,,,,,,
0.4843062162399292,578,,,,,,
0.4680803120136261,579,,,,,,
0.5465270280838013,580,,,,,,
0.46235913038253784,581,,,,,,
0.5242710709571838,582,,,,,,
,2172,0.8794389367103577,52,0.5016823410987854,,,
,2172,,52,,0.9506358504295349,,
,2199,,53,,,0.9627290964126587,0.71875
0.5748748779296875,583,,,,,,
0.5136650204658508,584,,,,,,
0.489234060049057,585,,,,,,
0.5275917649269104,586,,,,,,
0.5154255628585815,587,,,,,,
0.5308756232261658,588,,,,,,
0.5599358081817627,589,,,,,,
0.5529337525367737,590,,,,,,
0.4947110712528229,591,,,,,,
0.4827798008918762,592,,,,,,
0.5565235018730164,593,,,,,,
,2213,0.8748224377632141,53,0.5271410346031189,,,
,2213,,53,,0.9450958967208862,,
,2249,,54,,,1.0168789625167847,0.71484375
0.5449433922767639,594,,,,,,
0.4790550470352173,595,,,,,,
0.47010111808776855,596,,,,,,
0.5334563255310059,597,,,,,,
0.5018356442451477,598,,,,,,
0.4788827896118164,599,,,,,,
0.5251493453979492,600,,,,,,
0.5494593977928162,601,,,,,,
0.5441855192184448,602,,,,,,
0.4626433551311493,603,,,,,,
0.5000472068786621,604,,,,,,
,2254,0.8778409361839294,54,0.508159875869751,,,
,2254,,54,,0.9578695297241211,,
0.49974727630615234,605,,,,,,
0.5729769468307495,606,,,,,,
0.5364407300949097,607,,,,,,
0.5171619057655334,608,,,,,,
0.5153444409370422,609,,,,,,
0.5161122679710388,610,,,,,,
0.485344260931015,611,,,,,,
0.477207750082016,612,,,,,,
0.523223876953125,613,,,,,,
0.4987046420574188,614,,,,,,
