step,val_cross_entropy_step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
0,3.1249778270721436,,,,,,
1,3.1204354763031006,,,,,,
9,,3.122706651687622,0.57568359375,0,,,
9,,,,0,3.3581740856170654,,
2,1.764482021331787,,,,,,
3,1.7657686471939087,,,,,,
19,,1.7651252746582031,0.723876953125,1,,,
19,,,,1,2.6489486694335938,,
4,0.5603896379470825,,,,,,
5,0.5784516930580139,,,,,,
29,,0.5694206953048706,0.8466796875,2,,,
29,,,,2,1.2914966344833374,,
6,0.3390823006629944,,,,,,
7,0.2908188998699188,,,,,,
39,,0.3149505853652954,0.890380859375,3,,,
39,,,,3,0.5914441347122192,,
49,,,,4,,0.37556877732276917,0.88623046875
8,0.2556469738483429,,,,,,
9,0.2767563760280609,,,,,,
49,,0.2662016749382019,0.906005859375,4,,,
49,,,,4,0.429456889629364,,
10,0.22854898869991302,,,,,,
11,0.2559877038002014,,,,,,
59,,0.24226835370063782,0.913818359375,5,,,
59,,,,5,0.3606320023536682,,
12,0.22877292335033417,,,,,,
13,0.23306003212928772,,,,,,
69,,0.23091647028923035,0.91796875,6,,,
69,,,,6,0.31978335976600647,,
14,0.23206135630607605,,,,,,
15,0.24268397688865662,,,,,,
79,,0.23737266659736633,0.91748046875,7,,,
79,,,,7,0.2994481027126312,,
16,0.23401156067848206,,,,,,
17,0.22648665308952332,,,,,,
89,,0.23024910688400269,0.9208984375,8,,,
89,,,,8,0.28360939025878906,,
99,,,,9,,0.27570366859436035,0.923828125
18,0.21611446142196655,,,,,,
19,0.23980598151683807,,,,,,
99,,0.2279602289199829,0.917236328125,9,,,
99,,,,9,0.27199801802635193,,
20,0.2157537341117859,,,,,,
21,0.22207500040531158,,,,,,
109,,0.21891435980796814,0.92529296875,10,,,
109,,,,10,0.2603225111961365,,
22,0.1948491334915161,,,,,,
23,0.21283836662769318,,,,,,
119,,0.20384374260902405,0.9296875,11,,,
119,,,,11,0.24325279891490936,,
24,0.21424001455307007,,,,,,
25,0.21035407483577728,,,,,,
129,,0.21229705214500427,0.924560546875,12,,,
129,,,,12,0.2348734438419342,,
26,0.20662206411361694,,,,,,
27,0.1734951287508011,,,,,,
139,,0.19005858898162842,0.931640625,13,,,
139,,,,13,0.22790999710559845,,
149,,,,14,,0.22929362952709198,0.9248046875
28,0.2237757295370102,,,,,,
29,0.20721137523651123,,,,,,
149,,0.2154935598373413,0.917724609375,14,,,
149,,,,14,0.22631493210792542,,
30,0.18271486461162567,,,,,,
31,0.19192448258399963,,,,,,
159,,0.18731966614723206,0.93408203125,15,,,
159,,,,15,0.22229628264904022,,
32,0.18303367495536804,,,,,,
33,0.19863441586494446,,,,,,
169,,0.19083404541015625,0.931884765625,16,,,
169,,,,16,0.21311044692993164,,
34,0.22880962491035461,,,,,,
35,0.21181945502758026,,,,,,
179,,0.22031453251838684,0.926025390625,17,,,
179,,,,17,0.21031415462493896,,
36,0.18386350572109222,,,,,,
