step,val_cross_entropy_step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0,3.3889079093933105,,,,,,
1,3.3873960971832275,,,,,,
9,,3.3881521224975586,0.137451171875,0,,,
9,,,,0,3.400383710861206,,
2,3.218787670135498,,,,,,
3,3.2209603786468506,,,,,,
19,,3.2198739051818848,0.5009765625,1,,,
19,,,,1,3.344683885574341,,
4,2.6533045768737793,,,,,,
5,2.6578969955444336,,,,,,
29,,2.6556007862091064,0.667724609375,2,,,
29,,,,2,3.0032124519348145,,
6,1.9454528093338013,,,,,,
7,1.960925817489624,,,,,,
39,,1.9531893730163574,0.81689453125,3,,,
39,,,,3,2.3772997856140137,,
49,,,,4,,0.8349609375,1.4195467233657837
8,1.3171104192733765,,,,,,
9,1.2825922966003418,,,,,,
49,,1.299851417541504,0.866943359375,4,,,
49,,,,4,1.702074646949768,,
10,0.8380753993988037,,,,,,
11,0.8606089949607849,,,,,,
59,,0.8493422269821167,0.878662109375,5,,,
59,,,,5,1.1276222467422485,,
12,0.5877870321273804,,,,,,
13,0.5684188008308411,,,,,,
69,,0.5781029462814331,0.899169921875,6,,,
69,,,,6,0.749474287033081,,
14,0.4688311219215393,,,,,,
15,0.46973955631256104,,,,,,
79,,0.46928533911705017,0.8955078125,7,,,
79,,,,7,0.5237478017807007,,
16,0.4213436543941498,,,,,,
17,0.37868165969848633,,,,,,
89,,0.40001267194747925,0.898193359375,8,,,
89,,,,8,0.3978540301322937,,
99,,,,9,,0.9306640625,0.3054623007774353
18,0.3569858968257904,,,,,,
19,0.36736616492271423,,,,,,
99,,0.3621760308742523,0.905517578125,9,,,
99,,,,9,0.32084017992019653,,
20,0.333125501871109,,,,,,
21,0.34419238567352295,,,,,,
109,,0.3386589288711548,0.908203125,10,,,
109,,,,10,0.2777879536151886,,
22,0.3277783691883087,,,,,,
23,0.3198211193084717,,,,,,
119,,0.323799729347229,0.909912109375,11,,,
119,,,,11,0.24623146653175354,,
24,0.294579416513443,,,,,,
25,0.32747340202331543,,,,,,
129,,0.311026394367218,0.9091796875,12,,,
129,,,,12,0.22278419137001038,,
26,0.3105485439300537,,,,,,
27,0.3076339066028595,,,,,,
139,,0.3090912103652954,0.908203125,13,,,
139,,,,13,0.20648260414600372,,
149,,,,14,,0.94775390625,0.20833857357501984
28,0.3228437006473541,,,,,,
29,0.2999568283557892,,,,,,
149,,0.31140026450157166,0.90966796875,14,,,
149,,,,14,0.20197944343090057,,
30,0.3046439290046692,,,,,,
31,0.30173459649086,,,,,,
159,,0.3031892776489258,0.9052734375,15,,,
159,,,,15,0.19645626842975616,,
32,0.3320685923099518,,,,,,
33,0.30067819356918335,,,,,,
169,,0.31637340784072876,0.9033203125,16,,,
169,,,,16,0.18608231842517853,,
34,0.297835111618042,,,,,,
35,0.30216920375823975,,,,,,
179,,0.30000215768814087,0.90869140625,17,,,
179,,,,17,0.1830548346042633,,
36,0.2971954941749573,,,,,,
37,0.26833537220954895,,,,,,
189,,0.2827654480934143,0.9140625,18,,,
189,,,,18,0.18223987519741058,,
199,,,,19,,0.94677734375,0.1952907145023346
38,0.31718456745147705,,,,,,
39,0.29732367396354675,,,,,,
199,,0.3072541356086731,0.909912109375,19,,,
199,,,,19,0.17639634013175964,,
40,0.29153376817703247,,,,,,
41,0.3012087643146515,,,,,,
209,,0.2963712811470032,0.912841796875,20,,,
209,,,,20,0.17770491540431976,,
42,0.30008161067962646,,,,,,
43,0.29306378960609436,,,,,,
219,,0.2965726852416992,0.9140625,21,,,
219,,,,21,0.17776189744472504,,
44,0.3122485280036926,,,,,,
45,0.3540326654911041,,,,,,
229,,0.33314061164855957,0.904541015625,22,,,
229,,,,22,0.19454941153526306,,
46,0.3186551034450531,,,,,,
47,0.29727432131767273,,,,,,
239,,0.3079647123813629,0.904541015625,23,,,
239,,,,23,0.1934671401977539,,
249,,,,24,,0.943359375,0.19373470544815063
48,0.2989380657672882,,,,,,
49,0.31653860211372375,,,,,,
249,,0.307738333940506,0.911865234375,24,,,
249,,,,24,0.18638470768928528,,
50,0.3067159950733185,,,,,,
51,0.3016650676727295,,,,,,
259,,0.3041905164718628,0.90966796875,25,,,
259,,,,25,0.18376559019088745,,
52,0.2789652645587921,,,,,,
53,0.2854851484298706,,,,,,
269,,0.28222519159317017,0.915771484375,26,,,
269,,,,26,0.1777498424053192,,
54,0.2819232642650604,,,,,,
55,0.29455870389938354,,,,,,
279,,0.2882409691810608,0.9140625,27,,,
279,,,,27,0.17224441468715668,,
56,0.3051603436470032,,,,,,
57,0.30309513211250305,,,,,,
289,,0.3041277527809143,0.909423828125,28,,,
289,,,,28,0.17027081549167633,,
299,,,,29,,0.9453125,0.1911529302597046
58,0.2976056933403015,,,,,,
59,0.26361358165740967,,,,,,
299,,0.2806096374988556,0.91357421875,29,,,
299,,,,29,0.17071689665317535,,
60,0.2924345135688782,,,,,,
61,0.31066662073135376,,,,,,
309,,0.30155056715011597,0.908203125,30,,,
309,,,,30,0.16299845278263092,,
62,0.3297377824783325,,,,,,
63,0.2995969355106354,,,,,,
319,,0.31466734409332275,0.903076171875,31,,,
319,,,,31,0.1661890298128128,,
64,0.2863117754459381,,,,,,
65,0.3211726248264313,,,,,,
329,,0.3037422001361847,0.909423828125,32,,,
329,,,,32,0.17477670311927795,,
66,0.30723923444747925,,,,,,
67,0.2865784168243408,,,,,,
339,,0.29690882563591003,0.909912109375,33,,,
339,,,,33,0.18116013705730438,,
349,,,,34,,0.9501953125,0.1820632964372635
68,0.2957299053668976,,,,,,
69,0.30661410093307495,,,,,,
349,,0.30117201805114746,0.914306640625,34,,,
349,,,,34,0.17808672785758972,,
70,0.30555012822151184,,,,,,
71,0.30597788095474243,,,,,,
359,,0.30576401948928833,0.90673828125,35,,,
359,,,,35,0.17500968277454376,,
72,0.2989957630634308,,,,,,
73,0.2756856679916382,,,,,,
369,,0.2873407006263733,0.91455078125,36,,,
369,,,,36,0.17693325877189636,,
74,0.2878047823905945,,,,,,
75,0.2953166961669922,,,,,,
379,,0.29156073927879333,0.912109375,37,,,
379,,,,37,0.17526134848594666,,
76,0.2827586531639099,,,,,,
77,0.29928839206695557,,,,,,
389,,0.29102352261543274,0.91357421875,38,,,
389,,,,38,0.17064887285232544,,
399,,,,39,,0.94677734375,0.19144181907176971
78,0.30437761545181274,,,,,,
79,0.28332918882369995,,,,,,
399,,0.29385340213775635,0.91259765625,39,,,
399,,,,39,0.1724238395690918,,
80,0.29536691308021545,,,,,,
81,0.3019092082977295,,,,,,
409,,0.2986380457878113,0.912109375,40,,,
409,,,,40,0.1812777817249298,,
82,0.30524733662605286,,,,,,
83,0.30462297797203064,,,,,,
419,,0.30493515729904175,0.906982421875,41,,,
419,,,,41,0.18121963739395142,,
84,0.3123229146003723,,,,,,
85,0.30792492628097534,,,,,,
429,,0.31012392044067383,0.906005859375,42,,,
429,,,,42,0.1735023707151413,,
86,0.3317575752735138,,,,,,
87,0.32782578468322754,,,,,,
439,,0.3297916650772095,0.900146484375,43,,,
439,,,,43,0.17037132382392883,,
449,,,,44,,0.947265625,0.18259207904338837
88,0.2939857542514801,,,,,,
89,0.3022896945476532,,,,,,
449,,0.29813772439956665,0.914306640625,44,,,
449,,,,44,0.18012115359306335,,
90,0.2897893190383911,,,,,,
91,0.29471510648727417,,,,,,
459,,0.29225221276283264,0.9111328125,45,,,
459,,,,45,0.17902393639087677,,
92,0.2972407042980194,,,,,,
93,0.27573397755622864,,,,,,
469,,0.286487340927124,0.9150390625,46,,,
469,,,,46,0.18278862535953522,,
94,0.31176018714904785,,,,,,
95,0.3244483470916748,,,,,,
479,,0.31810426712036133,0.905029296875,47,,,
479,,,,47,0.17993614077568054,,
