val_cross_entropy_step,step,val_acc,epoch,val_cross_entropy_epoch,cross_entropy_epoch,cross_entropy_step,train_acc
2.824937582015991,0,,,,,,
2.8866963386535645,1,,,,,,
2.855492115020752,2,,,,,,
2.8792355060577393,3,,,,,,
2.788555145263672,4,,,,,,
2.7897543907165527,5,,,,,,
2.843984842300415,6,,,,,,
2.813768148422241,7,,,,,,
2.8373401165008545,8,,,,,,
2.8885645866394043,9,,,,,,
2.910104751586914,10,,,,,,
,40,0.2828480005264282,0,2.847130060195923,,,
,40,,0,,3.2083401679992676,,
,49,,1,,,2.9043335914611816,0.2421875
2.600231409072876,11,,,,,,
2.5962953567504883,12,,,,,,
2.6015379428863525,13,,,,,,
2.5651283264160156,14,,,,,,
2.591083526611328,15,,,,,,
2.584986448287964,16,,,,,,
2.5484654903411865,17,,,,,,
2.638918161392212,18,,,,,,
2.647040843963623,19,,,,,,
2.5688419342041016,20,,,,,,
2.5812151432037354,21,,,,,,
,81,0.42276278138160706,1,2.5930676460266113,,,
,81,,1,,2.831376314163208,,
,99,,2,,,2.559440851211548,0.375
2.1691477298736572,22,,,,,,
2.237058162689209,23,,,,,,
2.279195547103882,24,,,,,,
2.2179770469665527,25,,,,,,
2.218065023422241,26,,,,,,
2.245405912399292,27,,,,,,
2.160444498062134,28,,,,,,
2.25827956199646,29,,,,,,
2.269172430038452,30,,,,,,
2.2588632106781006,31,,,,,,
2.2098639011383057,32,,,,,,
,122,0.6214488744735718,2,2.2294065952301025,,,
,122,,2,,2.5268869400024414,,
,149,,3,,,2.1265087127685547,0.5078125
1.888071060180664,33,,,,,,
1.8633997440338135,34,,,,,,
1.8932000398635864,35,,,,,,
1.8757319450378418,36,,,,,,
1.894425868988037,37,,,,,,
1.8633878231048584,38,,,,,,
1.8627979755401611,39,,,,,,
1.8712174892425537,40,,,,,,
1.876835584640503,41,,,,,,
1.8805066347122192,42,,,,,,
1.838281273841858,43,,,,,,
,163,0.6928266882896423,3,1.8734415769577026,,,
,163,,3,,2.211927652359009,,
,199,,4,,,1.8724359273910522,0.5390625
1.5282607078552246,44,,,,,,
1.4841532707214355,45,,,,,,
1.589040994644165,46,,,,,,
1.5552748441696167,47,,,,,,
1.5273720026016235,48,,,,,,
1.5239583253860474,49,,,,,,
1.5085248947143555,50,,,,,,
1.5461070537567139,51,,,,,,
1.5867305994033813,52,,,,,,
1.632865071296692,53,,,,,,
1.5560144186019897,54,,,,,,
,204,0.7501775622367859,4,1.5489367246627808,,,
,204,,4,,1.9478577375411987,,
1.3598734140396118,55,,,,,,
1.3181058168411255,56,,,,,,
1.2821252346038818,57,,,,,,
1.2875717878341675,58,,,,,,
1.2946597337722778,59,,,,,,
1.2980326414108276,60,,,,,,
1.2971752882003784,61,,,,,,
1.3162046670913696,62,,,,,,
1.286802887916565,63,,,,,,
1.2394284009933472,64,,,,,,
1.3242881298065186,65,,,,,,
,245,0.7938565611839294,5,1.3003880977630615,,,
,245,,5,,1.7667667865753174,,
